['45', '43', '44', '53', '128', '169', '186', '271', '52', '50', '51', '274', '362', '391', '54', '37', '96', '366', '55', '94', '109', '195', '291', '331', '376', '432', '467', '483', '282', '294', '303', '336', '375', '451', '188', '339', '412', '415', '158', '324', '476', '478', '392', '393', '246', '253', '180', '427', '430', '462']
['157', '3', '136', '155', '156', '310', '320', '347', '290', '25', '421', '23', '87', '489', '26', '397', '420', '426', '351', '439', '454', '487', '49', '330', '424', '425', '325', '352', '279', '332', '388', '443', '486', '460', '202', '410', '383', '367', '213', '442', '355', '458', '178', '470', '389', '394', '101', '416', '482', '240']
['113', '59', '79', '111', '112', '236', '293', '312', '248', '449', '135', '100', '102', '105']
['119', '7', '61', '110', '117', '118', '130', '234']
['152', '70', '98', '150', '151', '166', '199', '211']
['177', '0', '134', '175', '176', '189', '222', '227']
['30', '31', '32', '133', '190', '258', '298', '302']
['29', '4', '18', '20', '21', '27', '28', '64']
['138', '14', '56', '137', '154', '179', '206', '276']
['363', '123', '141', '165', '229', '244', '262', '273']
['245', '22', '57', '86', '92', '184', '205', '217']
['149', '19', '91', '108', '140', '147', '148', '162']
['288', '201', '216', '280', '286', '287', '295', '307']
['370', '16', '72', '77', '196', '209', '210', '225']
['479', '34', '47', '60', '104', '270', '322', '343']
['10', '11', '24', '76', '283', '319', '350', '364']
['353', '1', '12', '116', '182', '183', '207', '214']
['125', '84', '124', '172', '198', '242', '247', '269']
['129', '39', '58', '120', '121', '127', '139', '219']
['174', '173', '268', '334', '381', '382', '417', '437']
['68', '6', '66', '67', '88', '167', '212', '226']
['218', '83', '161', '266', '267', '306', '369', '378']
['233', '36', '75', '132', '142', '194', '231', '232']
['239', '89', '126', '153', '204', '230', '237', '238']
['314', '2', '171', '297', '301', '309', '313', '326']
['257', '17', '74', '85', '241', '255', '256', '398']
['450', '106', '107', '144', '272', '304', '346', '359']
['438', '5', '33', '38', '41', '73', '260', '264']
['341', '9', '164', '170', '252', '340', '354', '445']
['380', '48', '197', '249', '275', '357', '387', '418']
['405', '208', '278', '377', '403', '404', '413', '431']
['423', '35', '46', '80', '181', '187', '261', '399']
['446', '193', '228', '349', '360', '444', '447', '457']
['465', '97', '191', '371', '386', '463', '464', '469']
['452', '40', '42', '103', '114', '146', '235', '289']
['475', '71', '115', '185', '292', '361', '385', '390']
['168', '160', '254', '374', '440', '453', '472', '15']
['485', '163', '327', '337', '356', '365', '395', '406']
['220', '265', '318', '348', '396', '428', '221', '95']
['344', '143', '200', '277', '296', '342', '368', '419']
['401', '69', '78', '93', '311', '316', '400', '414']
['315', '192', '285', '305', '384', '422', '434', '468']
['345', '131', '263', '284', '308', '471', '477', '65']
['435', '82', '433', '455', '459', '436', '81', '159']
['223', '145', '203', '333', '461', '466', '488', '224']
['408', '259', '407', '473', '409', '8', '250', '251']
['358', '62', '299', '317', '373', '402', '429', '456']
['90', '329', '338', '484', '99', '243', '321', '328']
['63', '281', '335', '379', '474', '215', '300', '411']
['481', '13', '122', '323', '372', '441', '448', '480']
