['101', '35', '1', '25', '46', '47', '121', '213', '55', '0', '417', '426', '139', '238', '399', '175', '164', '81', '54', '119', '171', '2', '4', '395']
['109', '31', '6', '20', '193', '162', '163', '133', '434', '82', '180', '123', '317', '7', '9', '266', '13', '144', '145', '282', '32', '33', '419', '415']
['112', '5', '3', '261', '146', '19', '24', '156', '29', '286', '168', '42', '174', '431', '51', '52', '58', '189', '66', '72', '75', '79', '212', '270']
['113', '200', '11', '56', '10', '305', '277', '310', '158', '149', '194', '167', '233', '418', '241', '210', '247', '216', '474', '465', '107', '224', '199', '295']
['114', '91', '18', '23', '43', '62', '68', '321', '165', '178', '361', '268', '142', '239', '308', '407', '333', '478', '196', '155', '132', '37', '71', '345']
['115', '228', '300', '375', '12', '69', '83', '88', '108', '198', '205', '433', '469', '381', '93', '126', '349', '444', '301', '451', '329', '110', '401', '30']
['120', '78', '22', '263', '34', '197', '65', '264', '80', '368', '86', '476', '217', '124', '53', '182', '454', '467', '403', '413', '64', '128', '293', '380']
['61', '453', '27', '63', '370', '455', '421', '100', '325', '85', '92', '137', '331', '140', '150', '87', '154', '379', '127', '89', '386', '391', '398', '185']
['129', '420', '219', '461', '67', '172', '243', '26', '118', '457', '356', '430', '439', '319', '161', '40', '76', '44', '206', '303', '48', '337', '384', '70']
['350', '396', '169', '116', '117', '159', '369', '281', '8', '96', '388', '134', '273', '125', '208', '278', '98', '192', '402', '382', '36', '448', '339', '240']
['138', '463', '299', '429', '284', '260', '374', '249', '187', '378', '74', '385', '291', '315', '28', '236', '340', '221', '244', '288', '283', '330', '365', '334']
['14', '441', '304', '77', '186', '94', '170', '347', '279', '45', '106', '327', '251', '479', '351', '111', '471', '130', '136', '181', '230', '468', '218', '188']
['376', '38', '258', '57', '191', '307', '459', '214', '122', '287', '166', '346', '215', '157', '176', '412', '220', '363', '276', '246', '289', '462', '392', '60']
['143', '280', '452', '372', '306', '16', '259', '271', '148', '422', '425', '204', '84', '229', '102', '103', '232', '443', '147', '373', '338', '302', '472', '323']
['298', '406', '343', '440', '73', '414', '209', '15', '95', '387', '477', '223', '354', '49', '328', '21', '394', '383', '416', '423', '320', '437', '458', '265']
['269', '225', '234', '292', '237', '393', '470', '428', '352', '408', '90', '141', '464', '274', '254', '364', '404', '59', '203', '153', '456', '410', '405', '255']
['151', '342', '201', '296', '313', '275', '341', '312', '135', '367', '445', '105', '322', '39', '248', '432', '377', '335', '297', '250', '344', '262', '104', '400']
['152', '466', '17', '411', '257', '324', '290', '294', '397', '424', '316', '252', '436', '326', '202', '314', '359', '336', '160', '285', '272', '355', '235', '179']
['360', '50', '311', '435', '450', '366', '390', '41', '389', '348', '177', '409', '447', '226', '256', '131', '332', '371', '475', '449', '309', '358', '211', '97']
['173', '362', '267', '353', '231', '442', '190', '227', '473', '253', '183', '460', '99', '242', '207', '222', '318', '427', '357', '446', '245', '438', '184', '195']
