['10', '11', '1', '12', '13', '14', '15', '16', '344', '92']
['100', '101', '91', '102', '103', '104', '105', '106', '347', '288']
['170', '171', '161', '172', '173', '174', '175', '176', '349', '308']
['194', '191', '181', '190', '192', '193', '195', '196', '359', '255']
['309', '301', '291', '300', '302', '303', '304', '305', '374', '75']
['184', '149', '141', '131', '140', '142', '143', '144', '160', '350']
['81', '71', '80', '82', '83', '84', '85', '86', '294', '165']
['107', '292', '35', '31', '21', '30', '32', '33', '358', '6']
['108', '205', '201', '200', '202', '203', '204', '206', '73', '77']
['109', '256', '251', '241', '250', '252', '253', '254', '209', '283']
['110', '111', '112', '113', '114', '115', '116', '117', '162', '267']
['257', '38', '245', '222', '221', '211', '220', '223', '24', '278']
['219', '269', '261', '260', '262', '263', '264', '265', '216', '213']
['248', '76', '259', '48', '41', '40', '42', '43', '218', '233']
['243', '54', '51', '50', '52', '53', '55', '56', '20', '46']
['313', '311', '310', '312', '314', '315', '316', '317', '49', '74']
['306', '166', '5', '321', '320', '322', '323', '324', '357', '340']
['118', '383', '381', '371', '380', '382', '384', '385', '275', '25']
['119', '215', '8', '29', '273', '271', '270', '272', '285', '27']
['177', '57', '150', '151', '152', '153', '154', '155', '212', '18']
['120', '121', '122', '123', '124', '125', '126', '127', '327', '297']
['164', '391', '390', '392', '393', '394', '395', '396', '289', '183']
['9', '179', '377', '266', '79', '240', '348', '341', '339', '72']
['342', '333', '331', '330', '332', '334', '335', '336', '169', '397']
['61', '60', '62', '63', '64', '65', '66', '67', '148', '186']
['96', '26', '34', '182', '36', '89', '338', '168', '249', '226']
['386', '2', '93', '376', '298', '282', '281', '280', '217', '44']
['128', '368', '361', '351', '360', '362', '363', '364', '328', '326']
['129', '356', '95', '277', '238', '231', '230', '232', '318', '163']
['244', '398', '268', '258', '3', '295', '90', '286', '199', '23']
['130', '284', '337', '156', '387', '228', '28', '167', '197', '372']
['132', '147', '97', '208', '307', '247', '369', '146', '399', '367']
['133', '87', '366', '159', '246', '276', '299', '178', '239', '242']
['134', '229', '189', '99', '225', '188', '19', '198', '68', '58']
['135', '157', '78', '69', '98', '379', '158', '346', '17', '388']
['136', '236', '47', '355', '234', '329', '145', '290', '293', '319']
['137', '325', '45', '375', '373', '180', '353', '365', '296', '343']
['138', '345', '287', '279', '37', '7', '352', '354', '227', '210']
['139', '4', '235', '185', '39', '207', '214', '224', '22', '59']
['370', '88', '274', '378', '70', '187', '94', '237', '389']
