['a168', 'a2', 'a6', 'a9', 'a11', 'a13', 'a15', 'a18', 'a19', 'a21', 'a22', 'a474']
['a82', 'a1', 'a5', 'a7', 'a14', 'a23', 'a25', 'a26', 'a31', 'a35', 'a37', 'a427']
['a331', 'a3', 'a4', 'a8', 'a10', 'a16', 'a24', 'a27', 'a28', 'a29', 'a33', 'a460']
['a139', 'a12', 'a17', 'a20', 'a32', 'a34', 'a36', 'a38', 'a40', 'a43', 'a44', 'a454']
['a154', 'a41', 'a42', 'a46', 'a47', 'a48', 'a52', 'a56', 'a59', 'a68', 'a69', 'a452']
['a223', 'a39', 'a45', 'a49', 'a51', 'a53', 'a55', 'a57', 'a58', 'a62', 'a63', 'a455']
['a406', 'a66', 'a70', 'a72', 'a73', 'a74', 'a75', 'a76', 'a77', 'a81', 'a83', 'a438']
['a322', 'a54', 'a61', 'a64', 'a65', 'a78', 'a79', 'a85', 'a89', 'a91', 'a92', 'a443']
['a163', 'a60', 'a67', 'a80', 'a84', 'a93', 'a94', 'a96', 'a98', 'a99', 'a101', 'a463']
['a165', 'a71', 'a88', 'a90', 'a95', 'a97', 'a100', 'a105', 'a106', 'a108', 'a111', 'a453']
['a264', 'a50', 'a86', 'a87', 'a103', 'a104', 'a109', 'a110', 'a117', 'a118', 'a120', 'a479']
['a339', 'a102', 'a107', 'a114', 'a122', 'a124', 'a126', 'a127', 'a130', 'a131', 'a144', 'a478']
['a356', 'a30', 'a112', 'a113', 'a115', 'a125', 'a128', 'a135', 'a136', 'a138', 'a140', 'a473']
['a271', 'a123', 'a132', 'a133', 'a137', 'a145', 'a147', 'a149', 'a150', 'a152', 'a153', 'a432']
['a121', 'a129', 'a141', 'a146', 'a156', 'a157', 'a158', 'a169', 'a170', 'a172', 'a173', 'a459']
['a243', 'a119', 'a151', 'a161', 'a162', 'a166', 'a167', 'a171', 'a174', 'a175', 'a176', 'a480']
['a257', 'a155', 'a159', 'a178', 'a182', 'a183', 'a184', 'a185', 'a188', 'a191', 'a193', 'a442']
['a313', 'a142', 'a148', 'a177', 'a180', 'a187', 'a189', 'a190', 'a195', 'a196', 'a197', 'a465']
['a345', 'a116', 'a134', 'a143', 'a160', 'a164', 'a181', 'a186', 'a192', 'a202', 'a203', 'a400']
['a306', 'a194', 'a198', 'a200', 'a201', 'a210', 'a212', 'a219', 'a220', 'a221', 'a222', 'a447']
['a435', 'a179', 'a205', 'a206', 'a214', 'a216', 'a218', 'a225', 'a226', 'a227', 'a228', 'a467']
['a475', 'a199', 'a213', 'a224', 'a229', 'a230', 'a231', 'a232', 'a236', 'a237', 'a238', 'a457']
['a204', 'a207', 'a211', 'a215', 'a233', 'a241', 'a242', 'a245', 'a246', 'a247', 'a250', 'a449']
['a268', 'a208', 'a209', 'a234', 'a235', 'a249', 'a252', 'a254', 'a255', 'a258', 'a261', 'a430']
['a415', 'a217', 'a248', 'a251', 'a253', 'a256', 'a260', 'a262', 'a263', 'a265', 'a266', 'a464']
['a441', 'a239', 'a267', 'a269', 'a276', 'a279', 'a282', 'a283', 'a284', 'a287', 'a289', 'a461']
['a468', 'a240', 'a273', 'a274', 'a278', 'a286', 'a292', 'a294', 'a296', 'a297', 'a298', 'a359']
['a343', 'a270', 'a272', 'a281', 'a285', 'a290', 'a295', 'a299', 'a302', 'a305', 'a308', 'a434']
['a365', 'a244', 'a288', 'a300', 'a301', 'a307', 'a309', 'a312', 'a314', 'a315', 'a316', 'a420']
['a423', 'a275', 'a277', 'a280', 'a291', 'a293', 'a303', 'a304', 'a310', 'a311', 'a317', 'a466']
['a347', 'a259', 'a318', 'a320', 'a323', 'a324', 'a329', 'a330', 'a333', 'a335', 'a336', 'a469']
['a456', 'a325', 'a327', 'a332', 'a338', 'a340', 'a346', 'a348', 'a349', 'a351', 'a355', 'a451']
['a445', 'a321', 'a326', 'a341', 'a344', 'a354', 'a357', 'a358', 'a361', 'a364', 'a367', 'a477']
['a398', 'a319', 'a334', 'a342', 'a352', 'a353', 'a368', 'a369', 'a370', 'a371', 'a373', 'a410']
['a413', 'a350', 'a363', 'a372', 'a374', 'a375', 'a376', 'a381', 'a383', 'a384', 'a388', 'a472']
['a393', 'a328', 'a337', 'a366', 'a378', 'a379', 'a382', 'a391', 'a394', 'a395', 'a397', 'a462']
['a471', 'a386', 'a389', 'a390', 'a399', 'a401', 'a403', 'a404', 'a405', 'a407', 'a411', 'a458']
['a416', 'a362', 'a377', 'a380', 'a387', 'a392', 'a402', 'a409', 'a414', 'a419', 'a422', 'a426']
['a476', 'a360', 'a385', 'a396', 'a408', 'a417', 'a418', 'a429', 'a431', 'a433', 'a436', 'a450']
['a470', 'a412', 'a421', 'a424', 'a425', 'a428', 'a437', 'a439', 'a440', 'a444', 'a446', 'a448']
