['301', '48', '92', '321', '388', '61', '141', '488', '206', '53', '309', '413', '69', '91', '100', '324', '332', '398', '55', '72', '87', '164', '116', '58', '475']
['344', '46', '307', '385', '93', '89', '54', '86', '418', '268', '177', '455', '245', '147', '156', '193', '233', '235', '405', '435', '12', '15', '68', '117', '408']
['374', '384', '200', '414', '441', '21', '180', '219', '215', '356', '390', '407', '468', '6', '37', '84', '98', '121', '300', '305', '326', '33', '40', '132', '313']
['493', '124', '244', '426', '66', '88', '110', '285', '229', '351', '412', '427', '436', '67', '127', '191', '195', '239', '322', '113', '155', '184', '228', '383', '459']
['359', '2', '44', '109', '115', '183', '221', '270', '283', '292', '318', '491', '372', '393', '396', '185', '282', '284', '297', '35', '71', '463', '281', '460', '422']
['79', '346', '429', '0', '32', '103', '112', '267', '304', '341', '382', '432', '479', '78', '173', '294', '349', '403', '469', '148', '179', '196', '497', '433', '125']
['102', '76', '182', '220', '487', '273', '498', '406', '246', '355', '470', '444', '133', '149', '277', '478', '56', '157', '320', '190', '231', '295', '316', '345', '315']
['107', '65', '82', '80', '253', '9', '51', '409', '447', '214', '262', '171', '256', '334', '365', '401', '39', '477', '207', '176', '278', '290', '340', '389', '99']
['146', '64', '402', '152', '226', '454', '234', '472', '145', '286', '489', '30', '153', '163', '352', '410', '496', '18', '129', '140', '170', '289', '330', '434', '4']
['178', '11', '425', '343', '338', '209', '362', '452', '14', '27', '218', '299', '378', '419', '424', '467', '22', '118', '151', '210', '258', '333', '484', '449', '57']
['181', '23', '416', '126', '130', '168', '361', '123', '257', '263', '353', '445', '63', '101', '314', '204', '169', '199', '213', '216', '291', '347', '366', '446', '373']
['225', '192', '438', '52', '159', '368', '275', '223', '247', '375', '492', '42', '128', '298', '394', '237', '172', '197', '287', '194', '379', '34', '38', '60', '310']
['254', '49', '208', '251', '186', '391', '415', '106', '135', '490', '252', '265', '288', '350', '13', '62', '442', '337', '482', '26', '36', '90', '238', '272', '122']
['271', '136', '205', '371', '5', '227', '137', '431', '105', '451', '240', '417', '308', '329', '411', '471', '139', '248', '360', '31', '114', '264', '10', '323', '462']
['296', '230', '142', '8', '201', '160', '255', '108', '134', '363', '188', '274', '1', '97', '143', '187', '224', '154', '189', '481', '198', '276', '279', '280', '261']
['367', '70', '311', '7', '165', '74', '342', '464', '29', '269', '377', '400', '450', '387', '440', '474', '376', '16', '420', '456', '399', '20', '174', '111', '95']
['293', '41', '480', '364', '423', '17', '217', '250', '24', '203', '328', '331', '381', '458', '336', '335', '494', '312', '369', '75', '232', '348', '354', '3', '421']
['395', '453', '50', '439', '94', '150', '325', '259', '19', '138', '443', '28', '495', '327', '461', '158', '25', '485', '241', '357', '486', '45', '303', '428', '104']
['397', '358', '43', '81', '175', '47', '161', '266', '96', '131', '370', '212', '466', '437', '483', '380', '339', '306', '430', '85', '144', '465', '242', '166', '302']
['448', '120', '317', '222', '249', '236', '243', '386', '476', '260', '77', '319', '473', '457', '119', '404', '499', '392', '59', '167', '83', '73', '211', '202', '162']
