['343', '153', '91', '196', '495', '184', '69', '412', '243', '53', '291', '125', '471', '381', '329', '451', '135', '330', '31', '443']
['347', '134', '137', '393', '320', '285', '321', '286', '485', '442', '95', '345', '432', '335', '220', '375', '87', '51', '289', '77']
['96', '417', '15', '250', '234', '466', '229', '131', '378', '63', '374', '480', '436', '322', '360', '56', '258', '313', '161', '356']
['102', '28', '247', '476', '428', '93', '71', '279', '475', '10', '34', '252', '2', '304', '76', '310', '302', '477', '282', '197']
['11', '132', '147', '396', '47', '85', '144', '212', '348', '16', '301', '73', '65', '441', '128', '110', '336', '325', '372', '386']
['141', '238', '500', '327', '457', '446', '395', '44', '368', '353', '60', '84', '407', '379', '78', '221', '61', '488', '75', '233']
['168', '24', '176', '358', '472', '369', '284', '402']
['183', '365', '297', '74']
['188', '178', '157', '167']
['202', '143', '226', '391']
['249', '422', '103', '324']
['256', '370', '415', '163']
['267', '339', '206', '148']
['270', '174', '240', '293']
['276', '450', '333', '484']
['290', '469', '1', '23']
['30', '180', '496', '195']
['316', '245', '463', '43']
['317', '210', '239', '427']
['318', '81', '182', '120']
['328', '434', '426', '492']
['337', '149', '154', '207']
['344', '5', '224', '473']
['384', '57', '349', '165']
['398', '458', '97', '367']
['40', '88', '230', '214']
['403', '179', '385', '198']
['406', '25', '470', '303']
['425', '124', '435', '156']
['433', '377', '94', '7']
['439', '487', '467', '411']
['45', '373', '171', '341']
['452', '315', '499', '101']
['292', '122', '498', '72']
['468', '104', '486', '461']
['497', '217', '447', '424']
['59', '366', '192', '79']
['68', '300', '414', '254']
['89', '39', '362', '277']
['105', '390', '397', '41']
['107', '306', '418', '162']
['109', '408', '478', '445']
['111', '70', '430', '211']
['112', '118', '287', '449']
['113', '440', '413', '100']
['114', '232', '159', '32']
['115', '55', '164', '312']
['46', '80', '251', '209']
['121', '150', '419', '429']
['123', '189', '241', '323']
['126', '138', '274', '58']
['129', '459', '236', '281']
['136', '332', '483', '296']
['14', '382', '305', '175']
['145', '117', '371', '456']
['146', '338', '262', '357']
['299', '352', '54', '350']
['288', '462', '410', '400']
['242', '359', '201', '152']
['151', '474', '364', '294']
['155', '86', '98', '231']
['22', '421', '280', '401']
['90', '334', '340', '218']
['311', '437', '204', '200']
['33', '275', '389', '259']
['166', '482', '6', '203']
['17', '62', '253', '127']
['170', '404', '194', '351']
['36', '142', '354', '314']
['181', '331', '208', '140']
['185', '363', '158', '387']
['186', '3', '380', '52']
['19', '464', '21', '42']
['193', '423', '394', '420']
['116', '298', '92', '494']
['99', '106', '37', '18']
['213', '64', '216', '67']
['222', '27', '20', '244']
['227', '108', '35', '8']
['278', '376', '12', '263']
['235', '49', '9', '13']
['271', '261', '48', '191']
['237', '455', '219', '173']
['246', '409', '225', '383']
['388', '355', '460', '490']
['66', '190', '160', '29']
['130', '479', '119', '453']
['326', '205', '295', '264']
['257', '268', '283', '223']
['489', '438', '269', '187']
['26', '255', '139', '342']
['260', '169', '444', '392']
['481', '215', '248', '308']
['265', '82', '448', '493']
['266', '309', '491', '319']
['272', '38', '416', '346']
['273', '361', '454', '199']
['177', '431', '50', '83']
['307', '4', '172', '405']
['465', '133', '228', '399']
