['306', '2', '5', '6', '8', '9', '11', '12', '13', '14', '17', '18', '19', '413', '328', '333', '359', '366', '393', '396', '397', '401', '411', '412', '415', '416', '418', '419', '349', '361']
['262', '1', '3', '7', '16', '20', '21', '25', '28', '30', '31', '33', '34', '403', '369', '377', '384', '387', '395', '410', '414', '417', '373', '394', '409', '390']
['347', '0', '10', '23', '26', '27', '29', '32', '38', '39', '41', '45', '46']
['392', '4', '40', '44', '48', '51', '52', '54', '55', '57', '60', '62', '66']
['127', '22', '24', '43', '50', '56', '59', '61', '64', '77', '85', '92', '93']
['358', '15', '35', '36', '37', '47', '49', '70', '73', '76', '78', '88', '89']
['108', '42', '67', '68', '69', '71', '75', '80', '81', '84', '96', '100', '101']
['115', '63', '72', '82', '90', '95', '97', '99', '103', '104', '112', '117', '118']
['237', '53', '65', '79', '91', '94', '102', '105', '107', '110', '111', '114', '116']
['245', '83', '86', '109', '120', '121', '122', '124', '128', '129', '130', '131', '134']
['340', '74', '98', '106', '113', '119', '126', '132', '133', '136', '138', '140', '153']
['386', '123', '125', '135', '139', '143', '147', '154', '156', '157', '158', '161', '162']
['346', '87', '141', '142', '144', '146', '149', '152', '164', '170', '171', '172', '173']
['353', '58', '145', '148', '163', '166', '167', '169', '174', '175', '176', '178', '183']
['404', '150', '151', '155', '159', '165', '179', '182', '185', '186', '188', '193', '197']
['407', '180', '189', '194', '198', '201', '203', '207', '208', '211', '214', '215', '217']
['298', '168', '177', '181', '187', '192', '195', '196', '199', '200', '204', '205', '209']
['389', '137', '184', '191', '202', '218', '220', '222', '226', '228', '230', '234', '235']
['363', '190', '210', '221', '223', '224', '225', '229', '231', '232', '238', '239', '240']
['400', '160', '206', '219', '227', '243', '247', '248', '249', '250', '255', '259', '267']
['261', '213', '216', '244', '251', '253', '256', '260', '263', '268', '279', '280', '281']
['241', '212', '233', '236', '252', '257', '258', '264', '265', '273', '274', '278', '282']
['402', '242', '246', '254', '270', '275', '277', '287', '289', '290', '293', '295', '296']
['284', '269', '271', '285', '286', '288', '299', '300', '304', '307', '308', '310', '311']
['309', '266', '283', '291', '301', '303', '313', '314', '317', '320', '324', '325', '327']
['352', '272', '302', '315', '316', '329', '330', '332', '334', '335', '336', '338', '339']
['383', '276', '292', '294', '305', '318', '321', '322', '326', '331', '342', '343', '344']
['312', '323', '337', '341', '348', '350', '354', '356', '357', '360', '367', '370', '372']
['398', '297', '319', '345', '351', '362', '364', '371', '374', '375', '376', '378', '381']
['355', '365', '368', '379', '380', '382', '385', '388', '391', '399', '405', '406', '408']
