['a0', 'a98', 'a373', 'a118', 'a105', 'a3', 'a396', 'a122', 'a24', 'a62', 'a178', 'a236', 'a368', 'a224', 'a141', 'a345', 'a53', 'a350', 'a36', 'a131']
['a100', 'a155', 'a388', 'a334', 'a97', 'a313', 'a38', 'a42', 'a145', 'a92', 'a136', 'a231', 'a63', 'a279', 'a369', 'a261', 'a294', 'a125', 'a114', 'a217']
['a101', 'a250', 'a55', 'a184', 'a86', 'a169', 'a321', 'a7', 'a149', 'a246', 'a46', 'a73', 'a275', 'a69', 'a226', 'a249', 'a361', 'a346', 'a399', 'a85']
['a102', 'a148', 'a198', 'a140', 'a322', 'a41', 'a179', 'a51', 'a196', 'a381', 'a182', 'a79', 'a265', 'a260', 'a103', 'a88', 'a96', 'a300', 'a207', 'a235']
['a104', 'a150', 'a390', 'a70', 'a303', 'a352', 'a29', 'a267', 'a282', 'a286', 'a325', 'a329', 'a177', 'a35', 'a233', 'a223', 'a362', 'a348', 'a335', 'a394']
['a106', 'a258', 'a266', 'a78', 'a186', 'a214', 'a386', 'a397', 'a191', 'a327', 'a225', 'a336', 'a14', 'a376', 'a74', 'a57', 'a94', 'a27', 'a328', 'a398']
['a107', 'a54', 'a93', 'a175', 'a200', 'a243', 'a167', 'a173', 'a5', 'a347', 'a222', 'a22', 'a172', 'a160', 'a221', 'a124', 'a216', 'a209', 'a393', 'a276']
['a109', 'a128', 'a240', 'a72', 'a206', 'a10', 'a193', 'a40', 'a268', 'a39', 'a129', 'a308', 'a168', 'a18', 'a66', 'a383', 'a190', 'a16', 'a305', 'a302']
['a110', 'a9', 'a384', 'a37', 'a153', 'a151', 'a340', 'a137', 'a298', 'a311', 'a364', 'a377', 'a295', 'a375', 'a195', 'a312', 'a71', 'a264', 'a391', 'a316']
['a111', 'a280', 'a344', 'a83', 'a338', 'a174', 'a349', 'a2', 'a19', 'a165', 'a256', 'a166', 'a270', 'a306', 'a4', 'a363', 'a230', 'a65', 'a314', 'a341']
['a112', 'a203', 'a156', 'a215', 'a194', 'a34', 'a293', 'a1', 'a269', 'a201', 'a333', 'a290', 'a237', 'a108', 'a262', 'a44', 'a48', 'a211', 'a204', 'a132']
['a113', 'a292', 'a281', 'a229', 'a355', 'a20', 'a87', 'a30', 'a219', 'a205', 'a197', 'a142', 'a26', 'a81', 'a133', 'a371', 'a253', 'a254', 'a192', 'a146']
['a115', 'a234', 'a232', 'a291', 'a213', 'a342', 'a263', 'a75', 'a248', 'a162', 'a309', 'a220', 'a273', 'a127', 'a324', 'a188', 'a180', 'a84', 'a382', 'a33']
['a116', 'a357', 'a330', 'a228', 'a332', 'a380', 'a304', 'a154', 'a49', 'a208', 'a95', 'a372', 'a67', 'a58', 'a199', 'a288', 'a244', 'a227', 'a80', 'a91']
['a117', 'a163', 'a31', 'a353', 'a283', 'a365', 'a356', 'a99', 'a59', 'a320', 'a317', 'a68', 'a13', 'a238', 'a242', 'a50', 'a56', 'a164', 'a147', 'a25']
['a119', 'a299', 'a310', 'a251', 'a218', 'a130', 'a202', 'a171', 'a8', 'a385', 'a247', 'a370', 'a143', 'a6', 'a11', 'a367', 'a354', 'a252', 'a272', 'a61']
['a12', 'a187', 'a15', 'a239', 'a45', 'a64', 'a287', 'a152', 'a358', 'a366', 'a337', 'a158', 'a139', 'a134', 'a285', 'a76', 'a23', 'a52', 'a138', 'a144']
['a120', 'a378', 'a170', 'a307', 'a189', 'a301', 'a374', 'a315', 'a28', 'a161', 'a17', 'a257', 'a359', 'a277', 'a212', 'a126', 'a284', 'a90', 'a351', 'a379']
['a121', 'a331', 'a89', 'a271', 'a245', 'a296', 'a32', 'a47', 'a210', 'a360', 'a297', 'a278', 'a395', 'a387', 'a21', 'a176', 'a77', 'a392', 'a318', 'a82']
['a123', 'a319', 'a159', 'a183', 'a60', 'a343', 'a255', 'a181', 'a157', 'a241', 'a274', 'a185', 'a135', 'a289', 'a339', 'a326', 'a259', 'a389', 'a43', 'a323']
