['30', '0', '7', '17', '18', '19', '21', '251', '238', '203', '156', '371', '101', '98', '225', '352', '160', '263', '105', '207', '205', '268', '399', '304', '359']
['400', '1', '5', '11', '15', '27', '28', '46', '48', '69', '73', '75', '76', '84', '93', '99', '104', '110', '122', '394', '175', '179', '275', '384', '387']
['305', '4', '14', '20', '33', '38', '45', '49', '51', '52', '80', '96', '111', '119', '125', '130', '133', '135', '143', '391', '320', '339', '375', '358', '329']
['259', '8', '12', '22', '35', '41', '56', '64', '68', '79', '83', '90', '113', '137', '148', '151', '153', '159', '161', '292', '392', '57']
['278', '9', '13', '29', '37', '59', '60', '91', '94', '100', '102', '109', '112', '114', '118', '123', '131', '139', '140']
['290', '2', '55', '63', '65', '87', '89', '107', '115', '126', '142', '165', '166', '176', '180', '182', '185', '190', '198']
['70', '36', '42', '66', '301', '214', '340', '95', '172', '312', '146', '169', '328', '326', '194', '319', '360', '297', '332']
['82', '16', '24', '25', '47', '53', '58', '67', '71', '72', '77', '81', '321', '256', '239', '188', '171', '246', '227']
['170', '6', '34', '50', '92', '106', '121', '124', '147', '149', '154', '155', '164', '167', '168', '201', '333', '247', '283']
['388', '3', '10', '43', '62', '74', '78', '128', '129', '144', '162', '163', '177', '183', '191', '193', '197', '199', '230']
['136', '39', '44', '103', '120', '211', '299', '314', '348', '241', '260', '389', '357', '368', '277', '219', '184', '213', '378']
['229', '26', '134', '138', '145', '174', '181', '195', '196', '200', '212', '217', '224', '228', '287', '232', '380', '355', '316']
['221', '117', '132', '152', '209', '215', '216', '218', '220', '222', '235', '341', '364', '281', '293', '322', '398', '346', '269']
['294', '61', '85', '86', '97', '108', '178', '187', '202', '237', '249', '252', '261', '264', '284', '347', '382', '390', '331']
['383', '31', '32', '40', '54', '127', '158', '186', '204', '223', '226', '231', '271', '272', '274', '279', '282', '285', '286']
['258', '88', '242', '243', '250', '254', '330', '317', '327', '356', '386', '344', '303', '335', '353', '307', '372', '324', '295']
['325', '141', '157', '189', '192', '206', '240', '245', '248', '255', '280', '296', '302', '310', '313', '315', '363', '396', '350']
['23', '150', '367', '349', '377', '253', '397', '291', '262', '354', '370', '267', '233', '298', '369', '173', '362', '395', '273']
['323', '208', '210', '244', '257', '266', '270', '309', '318', '351', '374', '361', '373', '366', '337', '376', '338', '311', '342']
['300', '116', '234', '236', '265', '288', '289', '343', '365', '306', '345', '379', '308', '336', '393', '381', '334', '385', '276']
