['431', '1', '2', '5', '7', '9', '10', '13', '14', '15', '18', '22', '23', '26', '29', '32', '41', '44', '49', '50', '51', '53', '54', '57', '60', '495', '319', '353', '365', '438']
['262', '3', '4', '21', '27', '34', '35', '40', '42', '45', '56', '69', '72', '79', '82', '88', '91', '93', '95', '99', '102', '106', '110', '115', '116', '492', '447', '454', '455', '464']
['240', '16', '30', '31', '33', '36', '37', '48', '52', '55', '59', '61', '66', '75', '81', '85', '86', '89', '101', '103', '107', '108', '112', '120', '121', '487', '335', '458', '468', '471']
['242', '0', '8', '11', '12', '20', '25', '43', '46', '63', '65', '67', '70', '71', '73', '80', '83', '90', '92', '96', '97', '105', '109', '111', '113', '490', '442', '482', '485', '491']
['404', '17', '24', '28', '58', '64', '74', '87', '98', '100', '119', '122', '123', '125', '126', '127', '140', '141', '142', '143', '147', '150', '157', '158', '159', '476', '463', '477', '496', '489']
['430', '38', '47', '62', '76', '94', '124', '128', '129', '131', '135', '138', '139', '161', '163', '164', '167', '168', '172', '173', '180', '185', '188', '192', '193']
['462', '39', '77', '104', '114', '130', '148', '149', '151', '152', '154', '166', '169', '174', '176', '177', '183', '191', '194', '196', '208', '209', '212', '214', '215']
['488', '84', '117', '137', '144', '153', '160', '165', '175', '186', '189', '195', '198', '199', '200', '201', '210', '221', '222', '224', '225', '226', '232', '238', '241']
['300', '78', '118', '132', '134', '136', '162', '171', '187', '190', '205', '207', '213', '218', '230', '245', '246', '247', '248', '252', '260', '264', '265', '266', '270']
['308', '68', '145', '156', '179', '182', '197', '211', '227', '233', '237', '239', '251', '253', '256', '259', '261', '273', '279', '287', '289', '291', '294', '295', '297']
['439', '19', '133', '178', '181', '203', '206', '249', '254', '263', '268', '269', '277', '278', '284', '286', '288', '293', '298', '301', '303', '306', '310', '313', '316']
['429', '216', '217', '219', '228', '236', '258', '267', '271', '276', '304', '307', '311', '312', '317', '326', '327', '328', '331', '332', '334', '337', '342', '345', '347']
['483', '6', '146', '184', '204', '223', '229', '234', '255', '272', '274', '281', '282', '299', '315', '320', '321', '325', '333', '339', '344', '348', '352', '355', '362']
['357', '155', '170', '202', '231', '243', '290', '292', '302', '305', '314', '318', '336', '346', '351', '358', '359', '373', '376', '378', '379', '382', '383', '386', '387']
['322', '235', '283', '330', '341', '343', '361', '364', '366', '369', '370', '385', '390', '392', '394', '397', '398', '399', '405', '414', '416', '418', '424', '428', '433']
['377', '220', '244', '257', '280', '309', '329', '340', '349', '354', '356', '363', '367', '371', '372', '391', '395', '396', '401', '403', '408', '409', '410', '417', '419']
['484', '275', '324', '350', '360', '375', '380', '384', '393', '400', '406', '407', '421', '422', '423', '427', '436', '437', '444', '449', '450', '451', '452', '460', '465']
['448', '285', '296', '381', '388', '402', '411', '412', '413', '415', '425', '426', '434', '435', '441', '445', '456', '457', '459', '461', '466', '467', '469', '470', '475']
['497', '250', '323', '374', '389', '420', '440', '443', '446', '453', '472', '473', '474', '478', '479', '480', '481', '486', '493', '494', '498', '499', '338', '368', '432']
