['G0', 'H20', 'H19']
['G1', '32', '30']
['G10', 'E29', 'D29']
['G11', 'E6', 'D6']
['G12', 'H30', 'H29']
['G13', 'H34', 'H33']
['G14', 'E19', 'D19']
['G15', '10', '0']
['G16', 'D14', 'A14']
['G17', 'H2', 'E2']
['G18', 'C12', 'A12']
['G19', 'D25', 'A25']
['G2', 'H7', 'E7']
['G20', 'A16', 'C16']
['G21', 'C4', 'A4']
['G22', 'E41', 'D41']
['G23', 'A48', 'C48']
['G24', 'A43', 'C43']
['G25', 'A7', 'C7']
['G26', '41', '31']
['G27', 'E11', 'D11']
['G28', 'H49', 'E49']
['G29', '9', '1']
['G3', 'E31', 'D31']
['G30', '20', '2']
['G31', 'A40', 'C40']
['G32', 'C54', 'A54']
['G33', 'E51', 'D51']
['G34', 'H48', 'H47']
['G35', 'A49', 'C49']
['G36', '14', '3']
['G37', 'C19', 'C18']
['G38', 'E24', 'D24']
['G39', 'H17', 'E17']
['G4', 'E0', 'D0']
['G40', 'E45', 'D45']
['G41', '55', '33']
['G42', 'C38', 'A38']
['G43', 'A47', 'C47']
['G44', 'C36', 'A36']
['G45', 'A52', 'C52']
['G46', 'D43', 'E43']
['G47', '44', '34']
['G48', 'E38', 'D38']
['G49', 'A19', '47']
['G5', 'D2', 'A2']
['G50', 'E28', 'D28']
['G51', 'C51', 'C50']
['G52', 'C29', 'C28']
['G53', 'H11', 'H12']
['G54', 'A34', 'C34']
['G6', 'H13', 'E13']
['G7', 'D47', 'E47']
['G8', 'A39', 'C39']
['G9', 'E9', 'D9']
['B0', '38', '35']
['B1', 'E32', 'D32']
['B10', '12', '4']
['B11', 'A8', 'C8']
['B12', 'D17', 'A17']
['B13', 'C32', 'A32']
['B14', 'H14', 'E14']
['B15', 'H15', 'E15']
['B16', 'H9', 'H10']
['B17', '11', '5']
['B18', '36', '37']
['B19', 'E50', 'D50']
['B2', 'A21', 'C21']
['B20', 'H21', 'E21']
['B21', 'A22', 'C22']
['B22', 'C33', 'A33']
['B23', 'A10', 'C10']
['B24', 'E4', 'D4']
['B25', 'E22', 'D22']
['B26', '25', '6']
['B27', 'H51', 'H52']
['B28', 'C42', 'A42']
['B29', 'E16', 'D16']
['B3', 'C14', 'C15']
['B30', 'H3', 'E3']
['B31', 'C2', 'C3']
['B32', 'D54', 'E54']
['B33', 'E39', 'D39']
['B34', 'E46', 'D46']
['B35', 'D40', 'E40']
['B36', '58', '39']
['B37', 'H23', 'E23']
['B38', '17', '7']
['B39', 'H31', 'H32']
['B4', 'C9', 'A9']
['B40', 'D1', 'A1']
['B41', '46', '40']
['B42', 'E26', 'D26']
['B43', 'C45', 'C44']
['B44', 'H37', 'E37']
['B45', 'A35', 'C35']
['B46', 'H42', 'H41']
['B47', 'C26', 'A26']
['B48', 'E30', 'D30']
['B49', 'D53', 'A53']
['B5', 'A28', 'E53']
['B50', 'E10', 'D10']
['B51', 'H44', 'H43']
['B52', 'H22', 'A37']
['B53', 'D34', 'E34']
['B54', 'D23', 'A23']
['B6', '23', '8']
['B7', 'A29', 'E35']
['B8', 'C11', 'A11']
['B9', 'A15', 'D15']
['F0', 'A3', 'D3']
['F1', 'C17', 'H53']
['F10', 'D33', 'E33']
['F11', '49', '42']
['F12', '13', '15']
['F13', 'C20', 'A20']
['F14', '28', '16']
['F15', 'D37', 'C37']
['F16', 'E12', 'D12']
['F17', 'A5', 'C5']
['F18', 'A51', 'A30']
['F19', 'D5', 'E5']
['F2', 'D21', 'H45']
['F20', 'D52', 'E52']
['F21', 'C25', 'C24']
['F22', '45', '43']
['F23', 'A18', 'D18']
['F24', 'C1', 'C0']
['F25', 'H8', 'E8']
['F26', 'D8', '53']
['F27', 'H46', 'H39']
['F28', '19', '18']
['F29', 'A24', 'D49']
['F3', 'H28', 'H27']
['F30', 'H5', 'H6']
['F31', 'H36', 'H35']
['F32', 'A6', 'C6']
['F33', 'H26', 'H25']
['F34', '56', '48']
['F35', 'E44', 'D44']
['F36', '21', '22']
['F37', 'D35', '54']
['F38', 'A13', 'C13']
['F39', 'D20', 'E20']
['F4', 'E25', 'A0']
['F40', 'C46', 'A46']
['F41', 'E27', 'D27']
['F42', 'E48', 'D48']
['F43', 'C23', 'D36']
['F44', '52', '50']
['F45', 'H16', 'E36']
['F46', 'D13', 'D42']
['F47', 'A31', 'C31']
['F48', 'C27', 'A27']
['F49', 'H50', 'E42']
['F5', 'H18', 'E18']
['F50', '57', '51']
['F51', 'C41', 'A41']
['F52', '29', '24']
['F53', 'A50', 'D7']
['F54', 'H40', '59']
['F6', 'H38', '26']
['F7', 'C30', 'A45']
['F8', 'C53', 'A44']
['F9', 'H4', 'H24']
['H0', 'E1', 'H54']
['H1', '27']
