['0', '483']
['1', '384']
['10', '435']
['100', '332']
['101', '61']
['102', '438']
['103', '341']
['104', '44']
['105', '85']
['106', '77']
['107', '9']
['108', '338']
['109', '333']
['11', '467']
['110', '360']
['111', '375']
['112', '462']
['113', '63']
['114', '463']
['115', '46']
['116', '395']
['117', '486']
['118', '405']
['119', '424']
['12', '410']
['120', '342']
['121', '498']
['122', '474']
['123', '39']
['124', '76']
['125', '492']
['126', '458']
['127', '80']
['128', '5']
['129', '430']
['13', '451']
['130', '50']
['131', '433']
['132', '340']
['133', '465']
['134', '407']
['135', '367']
['136', '449']
['137', '396']
['138', '90']
['139', '89']
['14', '415']
['140', '36']
['141', '429']
['142', '479']
['143', '427']
['144', '40']
['145', '41']
['146', '487']
['147', '420']
['148', '98']
['149', '67']
['15', '350']
['150', '372']
['151', '325']
['152', '64']
['153', '444']
['154', '368']
['155', '469']
['156', '399']
['157', '34']
['158', '393']
['159', '72']
['16', '441']
['160', '490']
['161', '344']
['162', '494']
['163', '397']
['164', '383']
['165', '329']
['166', '473']
['167', '96']
['168', '412']
['169', '470']
['17', '84']
['170', '440']
['171', '75']
['172', '369']
['173', '457']
['174', '56']
['175', '95']
['176', '348']
['177', '402']
['178', '386']
['179', '69']
['18', '79']
['180', '345']
['181', '379']
['182', '391']
['183', '48']
['184', '351']
['185', '326']
['186', '456']
['187', '447']
['188', '357']
['189', '491']
['19', '328']
['190', '394']
['191', '55']
['192', '419']
['193', '373']
['194', '484']
['195', '8']
['196', '436']
['197', '33']
['198', '450']
['199', '352']
['2', '426']
['20', '493']
['200', '466']
['201', '339']
['202', '370']
['203', '443']
['204', '416']
['205', '482']
['206', '476']
['207', '459']
['208', '37']
['209', '417']
['21', '413']
['210', '439']
['211', '52']
['212', '406']
['213', '488']
['214', '448']
['215', '378']
['216', '497']
['217', '358']
['218', '481']
['219', '485']
['22', '86']
['220', '70']
['221', '499']
['222', '400']
['223', '45']
['224', '468']
['225', '355']
['226', '428']
['227', '496']
['228', '354']
['229', '414']
['23', '74']
['230', '461']
['231', '374']
['232', '83']
['233', '78']
['234', '93']
['235', '94']
['236', '365']
['237', '343']
['238', '472']
['239', '408']
['24', '452']
['240', '392']
['241', '445']
['242', '58']
['243', '390']
['244', '460']
['245', '334']
['246', '434']
['247', '68']
['248', '364']
['249', '323']
['25', '60']
['250', '455']
['251', '362']
['252', '404']
['253', '349']
['254', '489']
['255', '53']
['256', '381']
['257', '411']
['258', '403']
['259', '54']
['26', '363']
['260', '330']
['261', '71']
['262', '66']
['263', '73']
['264', '371']
['265', '57']
['266', '387']
['267', '91']
['268', '361']
['269', '327']
['27', '51']
['270', '335']
['271', '421']
['272', '464']
['273', '4']
['274', '366']
['275', '376']
['276', '82']
['277', '475']
['278', '38']
['279', '62']
['28', '471']
['280', '398']
['281', '388']
['282', '97']
['283', '87']
['284', '99']
['285', '437']
['286', '380']
['287', '49']
['288', '385']
['289', '47']
['29', '65']
['290', '409']
['291', '432']
['292', '347']
['293', '377']
['294', '88']
['295', '356']
['296', '346']
['297', '495']
['298', '418']
['299', '389']
['3', '331']
['30', '480']
['300', '59']
['301', '423']
['302', '353']
['303', '477']
['304', '453']
['305', '324']
['306', '337']
['307', '7']
['308', '336']
['309', '401']
['31', '478']
['310', '454']
['311', '6']
['312', '92']
['313', '425']
['314', '431']
['315', '43']
['316', '422']
['317', '42']
['318', '35']
['319', '359']
['32', '446']
['320', '81']
['321', '442']
['322', '382']
