['177', '443', '234', '97', '378', '319', '425', '360', '435', '256', '341', '258', '328', '397', '287', '15', '17', '62', '133', '160', '321', '385', '438', '487', '490', '36', '191', '311', '419', '455', '460', '195', '268', '393', '447', '411', '407', '408', '461', '364', '226', '220', '434', '246', '415', '210', '264', '342', '413', '375', '370', '410', '486', '386', '406', '423', '327', '271', '491', '478', '480', '69', '94', '128', '238', '446', '497', '495', '338', '474', '203', '61', '124', '308', '315', '336', '398', '354', '401', '396', '262', '267', '414', '479', '391', '367', '252', '199', '225', '231', '469', '247', '477', '304', '251', '307', '422', '458', '233', '318', '362', '468', '471', '453', '291', '357', '489', '429']
['298', '266', '380', '442']
['424', '30', '395', '441']
['10', '31', '285', '314']
['115', '4', '11', '330']
['127', '259', '433', '163']
['130', '175', '217', '361']
['136', '74', '439', '374']
['137', '213', '35', '239']
['141', '248', '270', '416']
['148', '90', '102', '202']
['183', '66', '467', '7']
['185', '230', '149', '265']
['190', '387', '24', '166']
['249', '289', '59', '165']
['273', '187', '218', '320']
['297', '109', '176', '182']
['351', '178', '384', '496']
['356', '402', '451', '484']
['358', '144', '418', '157']
['43', '45', '211', '392']
['430', '105', '245', '352']
['52', '78', '100', '200']
['54', '40', '162', '412']
['65', '432', '365', '376']
['70', '23', '158', '444']
['101', '38', '41', '88']
['106', '131', '140', '303']
['118', '87', '58', '436']
['150', '108', '154', '296']
['155', '156', '452', '470']
['394', '112', '53', '64']
['482', '28', '151', '235']
['170', '1', '80', '161']
['143', '276', '13', '19']
['18', '93', '186', '269']
['180', '113', '123', '212']
['462', '224', '104', '437']
['192', '32', '63', '98']
['193', '306', '379', '421']
['204', '350', '51', '107']
['6', '174', '34', '39']
['465', '27', '37', '79']
['240', '91', '472', '293']
['250', '243', '426', '345']
['26', '377', '89', '346']
['261', '116', '134', '313']
['50', '456', '85', '335']
['286', '388', '48', '323']
['292', '428', '494', '122']
['312', '22', '275', '373']
['9', '16', '95', '347']
['409', '454', '366', '12']
['300', '20', '73', '99']
['329', '222', '260', '316']
['57', '71', '92', '142']
['333', '400', '221', '317']
['476', '322', '49', '498']
['181', '120', '206', '281']
['146', '0', '138', '196']
['448', '481', '371', '228']
['309', '68', '173', '179']
['399', '229', '241', '381']
['431', '14', '83', '114']
['404', '126', '72', '280']
['449', '84', '145', '237']
['125', '21', '60', '168']
['459', '207', '110', '184']
['47', '3', '76', '81']
['473', '272', '274', '294']
['475', '42', '208', '242']
['493', '283', '2', '197']
['457', '198', '29', '152']
['305', '172', '209', '216']
['227', '75', '310', '331']
['232', '223', '244', '8']
['488', '67', '295', '382']
['219', '147', '169', '194']
['25', '214', '236', '301']
['77', '44', '86', '483']
['464', '344', '363', '279']
['390', '353', '339', '427']
['445', '103', '278', '282']
['355', '302', '46', '171']
['5', '56', '254', '255']
['492', '33', '111', '290']
['132', '55', '159', '189']
['372', '288', '440', '450']
['284', '324', '153', '201']
['117', '82', '135', '299']
['463', '263', '139', '119']
['121', '277', '389', '369']
['129', '96', '188', '215']
['257', '417', '340', '205']
['332', '334', '368', '383']
['485', '167', '253', '325']
['420', '326', '349', '466']
['403', '348', '359', '343']
['405', '164', '337', '499']
