['101', '150', '286']
['104', '352', '482']
['11', '38', '370']
['111', '152', '285']
['115', '246', '365']
['119', '37', '391']
['120', '363', '80']
['121', '43', '489']
['130', '160', '413']
['137', '330', '172']
['142', '350', '271']
['144', '35', '428']
['148', '33', '95']
['149', '490', '439']
['151', '463', '394']
['157', '495', '452']
['16', '235', '258']
['163', '3', '397']
['166', '384', '382']
['167', '474', '25']
['168', '460', '31']
['17', '249', '273']
['175', '401', '308']
['176', '183', '141']
['178', '254', '7']
['179', '496', '106']
['180', '367', '399']
['184', '236', '207']
['186', '44', '77']
['187', '13', '253']
['189', '218', '389']
['190', '388', '108']
['192', '310', '281']
['195', '265', '242']
['197', '262', '306']
['2', '28', '177']
['202', '222', '210']
['203', '269', '298']
['204', '138', '62']
['208', '307', '194']
['209', '22', '396']
['214', '45', '412']
['215', '400', '122']
['217', '224', '76']
['219', '279', '347']
['221', '42', '199']
['223', '21', '390']
['226', '469', '416']
['229', '318', '385']
['232', '337', '170']
['237', '124', '65']
['238', '91', '380']
['24', '88', '321']
['240', '378', '348']
['244', '316', '406']
['245', '164', '47']
['248', '87', '334']
['251', '283', '447']
['252', '429', '12']
['257', '23', '445']
['259', '169', '89']
['261', '154', '227']
['263', '193', '146']
['264', '288', '343']
['266', '174', '18']
['267', '392', '230']
['272', '205', '372']
['275', '361', '196']
['276', '360', '84']
['277', '485', '30']
['280', '383', '408']
['287', '185', '355']
['289', '468', '200']
['291', '98', '478']
['293', '125', '158']
['294', '453', '421']
['295', '66', '472']
['296', '407', '425']
['301', '26', '155']
['302', '20', '34']
['305', '374', '420']
['309', '233', '320']
['312', '446', '319']
['315', '256', '159']
['317', '278', '110']
['322', '211', '161']
['323', '171', '339']
['326', '6', '442']
['327', '434', '102']
['328', '94', '153']
['329', '59', '324']
['331', '304', '188']
['332', '418', '475']
['333', '220', '364']
['335', '303', '313']
['336', '156', '71']
['338', '78', '415']
['340', '349', '314']
['341', '292', '128']
['342', '32', '351']
['344', '362', '56']
['345', '423', '55']
['346', '86', '471']
['353', '450', '247']
['356', '255', '231']
['357', '83', '100']
['358', '51', '435']
['366', '206', '41']
['368', '464', '239']
['369', '498', '260']
['371', '465', '241']
['375', '419', '268']
['376', '143', '492']
['377', '182', '181']
['379', '5', '162']
['381', '488', '359']
['386', '212', '499']
['387', '243', '85']
['393', '228', '354']
['398', '4', '15']
['402', '484', '48']
['409', '64', '480']
['410', '456', '201']
['424', '19', '40']
['430', '274', '165']
['431', '198', '493']
['432', '73', '36']
['433', '395', '225']
['436', '216', '213']
['437', '422', '58']
['440', '373', '191']
['443', '403', '300']
['444', '325', '448']
['449', '135', '270']
['457', '290', '27']
['458', '454', '39']
['459', '404', '173']
['46', '284', '451']
['461', '417', '455']
['462', '470', '297']
['466', '405', '411']
['467', '476', '282']
['473', '414', '105']
['477', '311', '250']
['479', '50', '234']
['483', '79', '426']
['486', '97', '427']
['487', '29', '441']
['49', '14', '299']
['491', '438', '481']
['494']
['497']
['52']
['53']
['54']
['57']
['60']
['61']
['63']
['67']
['68']
['69']
['70']
['72']
['74']
['75']
['8']
['81']
['82']
['9']
['90']
['92']
['93']
['96']
['99']
['0']
['1']
['10']
['103']
['107']
['109']
['112']
['113']
['114']
['116']
['117']
['118']
['123']
['126']
['127']
['129']
['131']
['132']
['133']
['134']
['136']
['139']
['140']
['145']
['147']
