['136', '116', '56', '94', '100', '107', '115', '224', '302', '211', '150', '183', '237', '24', '27', '44', '92', '96']
['144', '229', '2', '119', '123', '127', '166', '180', '193', '195', '197', '203', '51', '71', '307', '241', '244', '85']
['290', '235', '52', '57', '179', '215', '228', '258', '267', '275', '259', '265', '93', '86', '284', '191', '159', '190']
['292', '299', '5', '14', '82', '99', '117', '135', '171', '227', '234', '246', '266', '296', '277', '192', '177', '225']
['40', '243', '15', '37', '108', '113', '154', '165', '169', '187', '205', '236', '218', '84', '188', '189', '250', '217']
['6', '182', '39', '45', '66', '78', '81', '106', '160', '199', '204', '207', '281', '210', '256', '155', '222', '249']
['0', '129', '162', '133', '161', '200', '73', '74', '300', '77', '238', '17', '221', '254']
['1', '19', '132', '263', '297', '11', '268', '46', '147', '152', '185', '36']
['10', '131', '118', '230', '301', '125', '176', '54', '55', '312', '89', '28']
['124', '4', '12', '32', '35', '72', '80', '294', '137', '141', '273', '213']
['101', '170', '282', '7', '21', '62', '64', '79', '98', '105', '111', '146']
['102', '41', '67', '69', '90', '293', '104', '174', '145', '181', '120', '313']
['103', '34', '60', '83', '87', '88', '194', '261', '134', '232', '142', '208']
['30', '3', '16', '59', '76', '175', '110', '239', '178', '212', '245', '283']
['298', '9', '25', '38', '42', '53', '75', '95', '109', '126', '151', '198']
['18', '272', '139', '167', '168', '138', '43', '285', '240', '278', '91', '220']
['97', '49', '58', '65', '130', '291', '158', '271', '112', '305', '149', '280']
['214', '13', '20', '50', '68', '70', '114', '140', '143', '206', '289', '247']
['253', '153', '186', '157', '196', '311', '201', '219', '233', '231', '8', '26']
['226', '33', '61', '148', '163', '172', '288', '262', '295', '303', '255', '269']
['164', '31', '48', '63', '122', '128', '202', '173', '209', '274', '279', '216']
['184', '306', '308', '286', '304', '287', '248', '251', '47', '23', '29', '257']
['310', '270', '309', '260', '242', '264', '276', '252', '156', '223', '121', '22']
