['102', '211', '1', '329', '286', '15', '53', '431', '19', '163', '422', '143', '69', '72', '109', '365', '101', '199', '356', '60']
['104', '295', '352', '7', '21', '307', '421', '8', '474', '492', '220', '39', '84', '406', '314', '132', '75', '173', '223', '436']
['11', '359', '115', '340', '371', '131', '319', '355', '2', '65', '490', '326', '479', '13', '176', '83', '40', '51', '55', '52']
['113', '448', '457', '472', '5', '91', '214', '322', '402', '374', '57', '185', '393', '110', '82', '477', '71', '394', '243', '200']
['12', '451', '10', '437', '463', '27', '107', '343', '134', '408', '22', '369', '161', '294', '351', '391', '264', '258', '38', '354']
['122', '433', '3', '378', '25', '159', '306', '76', '247', '372', '383', '298', '120', '45', '239', '23', '414', '118', '344', '409']
['125', '466', '212', '360', '271', '191', '221', '222', '259', '449', '162', '410', '255', '88', '31', '240', '455', '454', '0', '336']
['126', '205', '279', '320', '305', '401', '56', '316', '366', '311', '124', '141', '495', '499', '63', '30', '16', '399', '423', '469']
['128', '204', '90', '116', '127', '170', '231', '364', '194', '362', '197', '33', '168', '108', '482', '476', '155', '219', '112', '328']
['133', '179', '348', '277', '390', '174', '74', '265', '486', '95', '248', '218', '405', '64', '473', '313', '175', '435', '302', '284']
['136', '230', '32', '61', '400', '368', '157', '358', '48', '18', '201', '269', '439', '47', '416']
['14', '37', '190', '181', '241', '233', '300', '50', '318', '249', '97', '165', '303', '192', '434']
['147', '493', '145', '226', '250', '301', '432', '180', '367', '386', '460', '430', '148', '445', '245']
['154', '234', '287', '419', '480', '80', '106', '9', '342', '450', '236', '397', '153', '345', '195']
['169', '276', '99', '229', '333', '4', '149', '188', '487', '41', '361', '396', '121', '135', '488']
['17', '471', '178', '93', '375', '321', '498', '398', '54', '424', '28', '462', '216', '208', '447']
['186', '67', '6', '428', '85', '158', '260', '166', '138', '253', '254', '42', '412', '146', '96']
['187', '420', '415', '203', '262', '89', '461', '334', '86', '337', '308', '98', '380', '292', '376']
['193', '44', '167', '26', '465', '49', '268', '304', '413', '389', '395', '475', '123', '315', '92']
['196', '210', '117', '381', '213', '275', '59', '384', '459', '119', '282', '73', '68', '281', '444']
['202', '29', '94', '441', '156', '58', '232', '312', '151', '346', '224', '483', '198', '296', '164']
['206', '285', '403', '66', '478', '103', '438', '152', '184', '338', '227', '137', '261', '330', '274']
['209', '225', '289', '350', '207', '446', '177', '24', '331', '377', '280', '481', '426', '81', '130']
['215', '309', '379', '385', '453', '310', '347', '290', '489', '470', '456', '392', '387', '407', '77']
['217', '139', '36', '491', '140', '425', '244', '160', '70', '325', '404', '150', '270', '382', '458']
['237', '467', '111', '228', '324', '172', '497', '353', '293', '87', '327', '341', '411', '78', '252']
['246', '427', '263', '129', '256', '468', '34', '171', '291', '349', '440', '485', '494', '189', '299']
['266', '20', '144', '323', '183', '257', '288', '370', '35', '442', '452', '114', '235', '251', '142']
['272', '317', '496', '267', '418', '79', '297', '283', '278', '105', '242', '373', '43', '182', '429']
['273', '388', '363', '484', '62', '238', '464', '100', '332', '339', '443', '335', '357', '46', '417']
