['0', '1', '2', '3', '420', '361', '362', '364', '365', '368', '369', '370', '371', '372', '374', '375', '376', '378', '380', '381', '383', '385', '388', '391', '393', '394', '396', '397', '400', '404', '405', '406', '407', '408', '411', '412', '415', '416', '417', '418', '419', '421', '422', '423', '424', '426', '427', '428', '430', '431', '432', '434', '435', '437', '439', '441', '442', '444', '445', '446', '447', '448', '450', '451', '452', '453', '454', '455', '456', '457', '458', '459', '460', '461', '462', '463', '464', '465', '466', '467', '469', '470', '472', '473', '475', '476', '479', '480', '481', '482', '483', '484', '488', '489', '490', '491', '492', '493', '494', '495', '496', '497', '498', '499']
['20', '4', '5', '6']
['10', '7', '8', '9']
['100', '11', '12', '13']
['101', '14', '15', '16']
['102', '17', '18', '19']
['103', '21', '22', '23']
['104', '24', '25', '26']
['105', '27', '28', '29']
['106', '30', '31', '32']
['107', '33', '34', '35']
['108', '36', '37', '38']
['109', '39', '40', '41']
['398', '42', '43', '44']
['110', '45', '46', '47']
['111', '48', '49', '50']
['112', '51', '52', '53']
['113', '54', '55', '56']
['114', '57', '58', '59']
['115', '60', '61', '62']
['116', '63', '64', '65']
['117', '66', '67', '68']
['118', '69', '70', '71']
['119', '72', '73', '74']
['240', '75', '76', '77']
['120', '78', '79', '80']
['121', '81', '82', '83']
['122', '84', '85', '86']
['123', '87', '88', '89']
['124', '90', '91', '92']
['125', '93', '94', '95']
['126', '96', '97', '98']
['127', '99', '128', '129']
['308', '130', '131', '132']
['363', '133', '134', '135']
['449', '136', '137', '138']
['425', '139', '140', '141']
['366', '142', '143', '144']
['316', '145', '146', '147']
['206', '148', '149', '150']
['410', '151', '152', '153']
['217', '154', '155', '156']
['429', '157', '158', '159']
['311', '160', '161', '162']
['338', '163', '164', '165']
['242', '166', '167', '168']
['295', '169', '170', '171']
['288', '172', '173', '174']
['261', '175', '176', '177']
['247', '178', '179', '180']
['379', '181', '182', '183']
['250', '184', '185', '186']
['471', '187', '188', '189']
['320', '190', '191', '192']
['222', '193', '194', '195']
['226', '196', '197', '198']
['350', '199', '200', '201']
['259', '202', '203', '204']
['330', '205', '207', '208']
['343', '209', '210', '211']
['468', '212', '213', '214']
['477', '215', '216', '218']
['387', '219', '220', '221']
['227', '223', '224', '225']
['438', '228', '229', '230']
['436', '231', '232', '233']
['326', '234', '235', '236']
['333', '237', '238', '239']
['402', '241', '243', '244']
['272', '245', '246', '248']
['487', '249', '251', '252']
['392', '253', '254', '255']
['409', '256', '257', '258']
['414', '260', '262', '263']
['413', '264', '265', '266']
['367', '267', '268', '269']
['319', '270', '271', '273']
['443', '274', '275', '276']
['486', '277', '278', '279']
['401', '280', '281', '282']
['373', '283', '284', '285']
['440', '286', '287', '289']
['382', '290', '291', '292']
['384', '293', '294', '296']
['360', '297', '298', '299']
['433', '300', '301', '302']
['390', '303', '304', '305']
['403', '306', '307', '309']
['386', '310', '312', '313']
['478', '314', '315', '317']
['347', '318', '321', '322']
['341', '323', '324', '325']
['395', '327', '328', '329']
['389', '331', '332', '334']
['485', '335', '336', '337']
['340', '339', '342', '344']
['474', '345', '346', '348']
['377', '349', '351', '352']
['399', '353', '354', '355']
['357', '356', '358', '359']
