['DuchessBarneyTheBraveZombieMaker', 'DukeFluffyTheMightyZombieHunter', 'DukeJellyTheHeroicRobotSniffer', 'MasterBarneyTheGreatRobotEater', 'DuchessBarneyTheGreatDragonMaker', 'MasterTrinityTheHeroicMonsterSniffer', 'MasterTrinityTheMightyVampireMaker', 'MasterShadowTheMightyMonsterFinder', 'DukeJellyTheHeroicDragonHunter', 'DukeJellyTheGreatMonsterFinder', 'SirBeetleTheGreatZombieEater', 'LordSushiTheBraveZombieSniffer', 'MadameJellyTheGreatVampireFinder', 'LordFluffyTheBraveVampireHunter', 'DukeFluffyTheTrueVampireMaker', 'LordFluffyTheGreatMonsterHunter', 'SirBarneyTheGreatRobotEater', 'DuchessBeetleTheTrueZombieFinder', 'SirShadowTheBraveZombieMaker', 'DukeShadowTheBraveRobotEater', 'DukeShadowTheGreatMonsterEater', 'SirSushiTheTrueDragonMaker', 'QueenTrinityTheMightyZombieHunter', 'SirTrinityTheHeroicRobotSniffer', 'SirBeetleTheTrueRobotHunter', 'QueenSushiTheHeroicVampireMaker', 'SirShadowTheGreatDragonHunter', 'QueenTrinityTheBraveVampireEater', 'SirBeetleTheMightyVampireFinder', 'LordSushiTheGreatRobotHunter']
['DuchessFluffyTheBraveVampireSniffer', 'MadameFluffyTheHeroicVampireMaker', 'LordJellyTheMightyRobotEater', 'SirFluffyTheTrueZombieHunter', 'QueenTrinityTheBraveZombieFinder', 'MasterSushiTheBraveRobotEater', 'DuchessShadowTheHeroicVampireSniffer', 'QueenShadowTheTrueVampireSniffer', 'SirJellyTheTrueDragonHunter', 'DuchessBarneyTheBraveZombieHunter', 'MadameJellyTheBraveVampireEater', 'DuchessBeetleTheGreatMonsterEater', 'DuchessShadowTheMightyVampireFinder', 'DuchessFluffyTheTrueVampireFinder', 'LordFluffyTheGreatMonsterFinder', 'QueenJellyTheHeroicZombieSniffer', 'DuchessBarneyTheMightyVampireHunter', 'QueenTrinityTheHeroicVampireMaker', 'QueenBarneyTheGreatRobotEater', 'QueenBeetleTheGreatMonsterEater', 'DukeBeetleTheMightyRobotHunter', 'SirShadowTheBraveRobotHunter', 'LordFluffyTheGreatDragonHunter', 'MadameFluffyTheTrueZombieFinder', 'DukeShadowTheBraveRobotFinder', 'SirJellyTheGreatZombieMaker', 'MadameSushiTheBraveRobotSniffer', 'SirJellyTheBraveZombieFinder', 'LordSushiTheHeroicRobotEater', 'SirBeetleTheGreatZombieFinder']
['DuchessFluffyTheGreatRobotHunter', 'SirFluffyTheTrueRobotEater', 'LordFluffyTheBraveZombieFinder', 'QueenJellyTheGreatZombieMaker', 'DuchessJellyTheMightyDragonMaker', 'DukeBeetleTheGreatDragonHunter', 'DuchessBeetleTheHeroicZombieEater', 'QueenJellyTheGreatMonsterFinder', 'DuchessShadowTheHeroicDragonHunter', 'DukeJellyTheMightyRobotSniffer', 'MasterJellyTheTrueDragonMaker', 'SirFluffyTheBraveMonsterMaker', 'MadameSushiTheHeroicZombieFinder', 'DukeShadowTheHeroicVampireHunter', 'MasterSushiTheMightyMonsterEater', 'MadameBarneyTheGreatRobotEater', 'DuchessJellyTheHeroicVampireHunter', 'SirTrinityTheBraveRobotHunter', 'MadameBeetleTheHeroicDragonFinder', 'DukeShadowTheBraveRobotHunter', 'LordJellyTheBraveVampireSniffer', 'LordFluffyTheTrueMonsterSniffer', 'SirShadowTheHeroicRobotMaker', 'QueenSushiTheTrueVampireEater', 'MasterBeetleTheTrueMonsterFinder', 'SirSushiTheGreatRobotEater', 'DuchessBeetleTheTrueDragonFinder', 'QueenBeetleTheTrueRobotEater', 'DukeFluffyTheGreatRobotEater', 'DukeTrinityTheGreatDragonEater']
['DukeJellyTheTrueRobotFinder', 'LordShadowTheHeroicDragonSniffer', 'DuchessBarneyTheMightyVampireSniffer', 'LordBarneyTheMightyRobotFinder', 'DuchessFluffyTheGreatDragonEater', 'DuchessShadowTheBraveDragonSniffer', 'MasterBeetleTheBraveDragonSniffer', 'SirFluffyTheBraveMonsterSniffer', 'LordBeetleTheBraveDragonHunter', 'LordFluffyTheTrueMonsterMaker', 'DukeSushiTheGreatZombieFinder', 'MadameTrinityTheGreatMonsterMaker', 'MasterBeetleTheTrueZombieSniffer', 'MasterBarneyTheHeroicZombieMaker', 'MasterBeetleTheGreatRobotSniffer', 'MasterJellyTheMightyMonsterHunter', 'MadameBarneyTheTrueMonsterFinder', 'DukeBarneyTheGreatVampireHunter', 'MasterFluffyTheTrueMonsterEater', 'MadameBarneyTheBraveVampireSniffer', 'QueenTrinityTheBraveVampireSniffer', 'DuchessShadowTheBraveZombieHunter', 'SirBarneyTheMightyRobotSniffer', 'DukeJellyTheBraveVampireFinder', 'MasterFluffyTheBraveVampireFinder', 'MasterTrinityTheMightyMonsterMaker', 'QueenJellyTheBraveMonsterMaker', 'MasterBeetleTheHeroicZombieMaker', 'MasterFluffyTheMightyZombieHunter', 'MadameJellyTheTrueZombieHunter']
['MadameJellyTheGreatZombieMaker', 'MasterJellyTheGreatDragonHunter', 'MadameSushiTheHeroicDragonEater', 'QueenTrinityTheBraveZombieHunter', 'DuchessBeetleTheTrueZombieSniffer', 'LordJellyTheGreatRobotHunter', 'MadameSushiTheBraveVampireSniffer', 'SirJellyTheGreatVampireHunter', 'DukeSushiTheHeroicZombieHunter', 'SirSushiTheTrueRobotFinder', 'MadameJellyTheTrueRobotEater', 'MasterTrinityTheBraveMonsterMaker', 'SirShadowTheBraveMonsterMaker', 'DukeJellyTheMightyDragonFinder', 'LordBarneyTheHeroicRobotSniffer', 'DuchessFluffyTheBraveDragonHunter', 'DuchessJellyTheHeroicMonsterMaker', 'MasterBeetleTheMightyVampireSniffer', 'MasterFluffyTheHeroicMonsterEater']
['MadameJellyTheTrueVampireHunter', 'DukeBarneyTheMightyRobotSniffer', 'QueenBeetleTheBraveMonsterMaker', 'QueenSushiTheTrueZombieEater', 'MasterShadowTheHeroicMonsterSniffer', 'QueenJellyTheHeroicZombieEater', 'DukeJellyTheGreatMonsterSniffer', 'MasterJellyTheHeroicRobotHunter', 'SirTrinityTheMightyVampireEater', 'MadameShadowTheMightyVampireEater', 'MadameTrinityTheHeroicZombieFinder', 'LordBeetleTheGreatRobotSniffer', 'LordShadowTheHeroicDragonHunter', 'DukeJellyTheGreatDragonFinder', 'LordJellyTheBraveZombieEater', 'MasterFluffyTheMightyRobotEater', 'QueenBarneyTheGreatVampireEater', 'MadameShadowTheBraveZombieHunter']
['MadameShadowTheGreatDragonEater', 'DuchessTrinityTheGreatMonsterFinder', 'QueenShadowTheHeroicZombieFinder', 'MasterShadowTheTrueDragonSniffer', 'DuchessSushiTheGreatRobotSniffer', 'MadameSushiTheGreatRobotFinder', 'DuchessJellyTheHeroicVampireMaker', 'QueenBarneyTheTrueRobotFinder', 'SirBarneyTheBraveRobotHunter', 'QueenShadowTheTrueMonsterFinder', 'SirJellyTheGreatDragonFinder', 'DukeShadowTheMightyMonsterMaker', 'MasterJellyTheMightyRobotEater', 'QueenFluffyTheBraveDragonFinder', 'LordSushiTheGreatDragonSniffer', 'DuchessBarneyTheMightyVampireFinder', 'SirShadowTheMightyDragonMaker', 'MasterSushiTheMightyVampireHunter']
['MadameShadowTheHeroicMonsterMaker', 'QueenTrinityTheTrueMonsterMaker', 'DuchessTrinityTheGreatVampireFinder', 'MasterJellyTheMightyDragonFinder', 'LordBarneyTheMightyDragonEater', 'MadameShadowTheGreatVampireFinder', 'LordFluffyTheGreatVampireSniffer', 'DuchessShadowTheMightyVampireHunter', 'SirBarneyTheTrueVampireEater', 'LordFluffyTheGreatZombieHunter', 'MasterFluffyTheBraveRobotHunter', 'MasterBeetleTheGreatDragonSniffer', 'DukeShadowTheMightyRobotEater', 'LordBarneyTheBraveRobotFinder', 'MasterFluffyTheTrueDragonFinder', 'DukeTrinityTheBraveRobotEater', 'SirFluffyTheTrueVampireSniffer', 'DukeSushiTheBraveDragonFinder']
['MasterBeetleTheHeroicRobotMaker', 'DukeTrinityTheBraveMonsterMaker', 'QueenTrinityTheTrueRobotMaker', 'SirTrinityTheTrueDragonEater', 'SirBarneyTheGreatZombieEater', 'DukeFluffyTheHeroicVampireFinder', 'LordBeetleTheHeroicMonsterSniffer', 'MasterFluffyTheGreatDragonEater', 'SirShadowTheMightyDragonHunter', 'MadameBarneyTheMightyVampireMaker', 'MadameTrinityTheBraveMonsterSniffer', 'SirBeetleTheBraveZombieMaker', 'QueenFluffyTheBraveVampireHunter', 'LordFluffyTheHeroicMonsterHunter', 'MasterTrinityTheMightyVampireEater', 'MasterSushiTheTrueMonsterEater', 'SirShadowTheHeroicVampireEater', 'DukeJellyTheHeroicRobotHunter']
['MasterShadowTheGreatRobotHunter', 'LordTrinityTheMightyDragonEater', 'MasterTrinityTheHeroicDragonMaker', 'DukeShadowTheBraveVampireHunter', 'QueenBeetleTheHeroicMonsterSniffer', 'MadameShadowTheHeroicMonsterEater', 'MadameShadowTheBraveVampireFinder', 'QueenTrinityTheMightyMonsterHunter', 'DuchessBeetleTheMightyMonsterFinder', 'QueenTrinityTheGreatVampireEater', 'DukeJellyTheTrueMonsterMaker', 'QueenShadowTheBraveVampireMaker', 'LordSushiTheTrueMonsterEater', 'LordBeetleTheGreatZombieSniffer', 'MadameTrinityTheBraveZombieEater', 'DukeBeetleTheTrueMonsterEater', 'DukeSushiTheTrueVampireMaker', 'DuchessJellyTheHeroicMonsterHunter']
['MasterTrinityTheMightyRobotSniffer', 'LordFluffyTheMightyMonsterSniffer', 'SirShadowTheTrueMonsterEater', 'DuchessShadowTheTrueZombieSniffer', 'QueenTrinityTheBraveRobotFinder', 'MasterShadowTheHeroicVampireSniffer', 'MadameBarneyTheMightyZombieEater', 'QueenSushiTheMightyMonsterEater', 'MasterTrinityTheHeroicZombieMaker', 'LordShadowTheBraveRobotMaker', 'MasterJellyTheHeroicZombieEater', 'MasterJellyTheMightyZombieEater', 'DukeBeetleTheHeroicZombieMaker', 'MasterBeetleTheTrueVampireMaker', 'DukeSushiTheTrueDragonHunter', 'MasterBarneyTheTrueMonsterMaker', 'MadameJellyTheBraveDragonEater', 'QueenJellyTheMightyZombieFinder']
['QueenTrinityTheBraveMonsterFinder', 'DuchessJellyTheTrueDragonHunter', 'SirSushiTheBraveDragonMaker', 'MadameBeetleTheTrueMonsterSniffer', 'QueenTrinityTheBraveRobotSniffer', 'LordFluffyTheMightyDragonSniffer', 'MasterBarneyTheHeroicDragonEater', 'SirSushiTheBraveZombieEater', 'MadameSushiTheGreatVampireSniffer', 'DukeBarneyTheTrueZombieEater', 'SirTrinityTheBraveZombieMaker', 'MasterBarneyTheGreatDragonEater', 'LordSushiTheGreatMonsterSniffer', 'LordJellyTheTrueMonsterMaker', 'DukeBeetleTheHeroicMonsterFinder', 'DuchessBarneyTheBraveMonsterMaker', 'MadameShadowTheGreatRobotHunter', 'DuchessSushiTheGreatVampireEater']
['QueenTrinityTheHeroicRobotSniffer', 'MasterTrinityTheBraveMonsterEater', 'LordSushiTheHeroicDragonMaker', 'QueenFluffyTheMightyRobotEater', 'LordBeetleTheMightyZombieSniffer', 'SirSushiTheMightyDragonEater', 'LordShadowTheBraveVampireFinder', 'QueenShadowTheHeroicMonsterSniffer', 'QueenFluffyTheBraveRobotHunter', 'LordShadowTheBraveZombieSniffer', 'QueenTrinityTheGreatMonsterHunter', 'DuchessFluffyTheMightyRobotMaker', 'LordBeetleTheMightyZombieFinder', 'DukeFluffyTheMightyZombieFinder', 'LordJellyTheGreatVampireSniffer', 'MasterShadowTheBraveDragonFinder', 'MasterSushiTheHeroicRobotHunter', 'MadameBarneyTheMightyRobotHunter']
['SirBeetleTheBraveZombieEater', 'MasterBarneyTheBraveVampireFinder', 'DukeShadowTheGreatDragonEater', 'DuchessTrinityTheTrueMonsterHunter', 'DukeShadowTheHeroicDragonEater', 'QueenJellyTheTrueMonsterMaker', 'DuchessJellyTheHeroicDragonSniffer', 'LordSushiTheGreatDragonEater', 'MadameTrinityTheGreatDragonSniffer', 'LordTrinityTheHeroicMonsterSniffer', 'SirSushiTheTrueZombieFinder', 'QueenFluffyTheMightyVampireEater', 'MasterSushiTheTrueZombieFinder', 'DuchessSushiTheHeroicRobotHunter', 'MadameBeetleTheTrueZombieMaker', 'MadameTrinityTheHeroicMonsterEater', 'DukeBarneyTheHeroicZombieEater', 'QueenBarneyTheBraveMonsterHunter']
['SirFluffyTheGreatMonsterHunter', 'QueenTrinityTheGreatDragonHunter', 'LordBarneyTheBraveVampireHunter', 'QueenShadowTheMightyMonsterMaker', 'QueenBeetleTheGreatDragonSniffer', 'DukeJellyTheBraveZombieFinder', 'LordBeetleTheBraveDragonFinder', 'QueenSushiTheTrueVampireMaker', 'DuchessSushiTheBraveMonsterHunter', 'DukeBarneyTheTrueVampireEater', 'MasterShadowTheMightyZombieEater', 'MasterBarneyTheTrueZombieEater', 'LordJellyTheMightyMonsterFinder', 'MasterSushiTheHeroicZombieHunter', 'SirFluffyTheBraveZombieFinder', 'SirTrinityTheBraveMonsterHunter', 'SirFluffyTheHeroicZombieSniffer', 'MadameBarneyTheGreatMonsterSniffer']
['SirJellyTheHeroicVampireEater', 'LordFluffyTheMightyVampireFinder', 'SirBarneyTheBraveVampireMaker', 'MasterSushiTheBraveDragonFinder', 'SirShadowTheBraveZombieFinder', 'MasterBeetleTheTrueVampireHunter', 'QueenSushiTheMightyVampireEater', 'SirShadowTheTrueVampireFinder', 'MadameFluffyTheTrueMonsterEater', 'LordSushiTheHeroicRobotMaker', 'LordFluffyTheMightyVampireMaker', 'DukeBeetleTheHeroicVampireFinder', 'QueenSushiTheHeroicVampireFinder', 'QueenBeetleTheBraveVampireMaker', 'QueenJellyTheHeroicRobotHunter', 'MasterTrinityTheHeroicDragonHunter', 'SirTrinityTheTrueMonsterMaker', 'SirJellyTheHeroicMonsterMaker']
