['244', '4', '5', '6', '7', '8', '9', '15', '18', '213', '193', '208', '228', '234', '247', '214', '219', '229', '231', '245', '246', '134', '243', '207', '211', '220', '225', '210', '226', '227', '212', '218', '222', '209']
['130', '1', '12', '16', '21', '22', '23', '27', '30']
['148', '11', '28', '29', '31', '35', '36', '37', '38']
['216', '13', '14', '20', '24', '25', '33', '40', '44']
['102', '32', '34', '41', '43', '55', '56', '60', '63']
['17', '191', '46', '49', '52', '53', '58', '61', '62']
['2', '86', '121', '99', '50', '57', '59', '66', '67']
['119', '10', '26', '39', '42', '45', '47', '48', '54']
['126', '68', '69', '71', '73', '74', '87', '89', '93']
['132', '51', '72', '77', '78', '79', '81', '84', '88']
['240', '3', '82', '94', '104', '107', '109', '115', '116']
['138', '85', '90', '101', '106', '108', '110', '113', '114']
['162', '64', '65', '96', '100', '105', '111', '117', '118']
['198', '76', '80', '98', '112', '122', '123', '124', '128']
['239', '92', '120', '125', '129', '131', '139', '142', '146']
['230', '127', '140', '143', '147', '149', '150', '154', '156']
['103', '70', '97', '163', '178', '235', '137', '151', '153']
['19', '233', '232', '144', '241', '95', '141', '145', '152']
['223', '83', '135', '161', '164', '167', '168', '170', '175']
['176', '91', '155', '157', '165', '166', '174', '249', '237']
['236', '133', '136', '158', '159', '160', '169', '171', '172']
['75', '196', '238', '173', '177', '179', '180', '185', '186']
['242', '182', '183', '184', '190', '192', '194', '199', '201']
['206', '187', '189', '195', '197', '200', '204', '205', '250']
['188', '181', '248', '224', '221', '215', '202', '203', '217']
