['119', '14', '18', '27', '45', '51', '52', '53', '56', '64', '77', '228', '36', '81', '183', '192', '209', '211', '237', '196', '247', '235', '230', '224', '227']
['86', '3', '17', '25', '29', '35', '37', '54', '57', '60', '79', '175', '152', '239', '178', '248', '222', '233', '232', '215', '24', '123', '190', '208', '238']
['16', '204', '138', '120', '140', '47', '41', '142', '110', '68', '164', '217', '201']
['161', '5', '19', '43', '48', '50', '55', '66', '80', '84', '88']
['91', '11', '12', '26', '44', '61', '82', '90', '194', '197', '115']
['155', '1', '6', '22', '32', '33', '39', '49', '58', '59', '63']
['166', '10', '21', '85', '98', '106', '107', '108', '112', '124', '128']
['179', '2', '8', '9', '13', '15', '28', '30', '70', '71', '73']
['189', '67', '97', '104', '118', '122', '126', '127', '135', '141', '145']
['210', '31', '34', '38', '65', '74', '75', '93', '95', '103', '136']
['170', '4', '78', '94', '109', '114', '116', '117', '133', '137', '139']
['214', '46', '76', '92', '100', '111', '144', '147', '150', '156', '159']
['246', '7', '23', '40', '96', '132', '134', '165', '167', '171', '173']
['149', '72', '89', '101', '181', '195', '249', '174', '243', '187', '205']
['169', '83', '87', '105', '121', '148', '153', '160', '168', '185', '182']
['154', '20', '42', '113', '146', '188', '226', '225', '177', '200', '234']
['130', '62', '69', '99', '125', '219', '157', '213', '245', '244', '163']
['207', '0', '131', '143', '162', '193', '202', '203', '241', '220', '231']
['151', '102', '172', '218', '199', '206', '184', '191', '229', '158', '240']
['242', '129', '176', '180', '186', '198', '212', '221', '223', '236', '216']
