['235', '1', '2', '3', '5', '7', '8', '9', '11', '264', '233', '241', '252', '253', '261', '262', '263', '267', '269', '271']
['63', '12', '14', '15', '16', '18', '26', '30', '31', '290', '236', '248', '254', '259', '265', '266', '272', '277', '280', '284']
['179', '21', '22', '23', '25', '36', '38', '40', '50', '299', '257', '276', '286', '288', '291', '293', '294', '296', '297', '298']
['274', '4', '13', '17', '19', '24', '27', '32', '33', '292', '270', '282', '285', '289', '301', '304', '305', '306', '287', '295']
['160', '6', '10', '20', '29', '41', '44', '47', '55', '307', '303', '300']
['211', '35', '37', '43', '48', '52', '56', '57', '58']
['258', '0', '28', '39', '42', '45', '46', '54', '59']
['134', '34', '49', '51', '53', '60', '61', '64', '66']
['185', '65', '67', '68', '69', '71', '72', '76', '77']
['129', '73', '75', '79', '80', '81', '82', '83', '84']
['246', '62', '70', '86', '88', '90', '91', '95', '97']
['245', '85', '87', '92', '96', '98', '99', '101', '102']
['219', '74', '78', '89', '94', '103', '107', '112', '113']
['197', '93', '100', '106', '108', '110', '111', '117', '122']
['302', '104', '105', '116', '120', '121', '125', '127', '132']
['164', '109', '115', '118', '135', '137', '140', '143', '144']
['268', '114', '119', '123', '131', '133', '138', '139', '146']
['149', '126', '128', '130', '136', '142', '147', '148', '152']
['155', '141', '157', '159', '161', '166', '168', '169', '171']
['281', '124', '145', '150', '154', '156', '162', '165', '170']
['275', '153', '167', '173', '174', '175', '176', '181', '184']
['209', '172', '178', '182', '186', '190', '194', '196', '198']
['279', '151', '158', '183', '187', '192', '193', '202', '203']
['227', '188', '199', '200', '201', '206', '212', '213', '218']
['260', '163', '177', '180', '189', '195', '204', '205', '207']
['273', '214', '215', '216', '217', '220', '221', '222', '223']
['283', '210', '225', '226', '228', '229', '230', '231', '232']
['239', '234', '237', '242', '243', '247', '249', '251', '256']
['278', '191', '208', '224', '238', '240', '244', '250', '255']
