['0', '5', '10', '15', '20', '25', '30', '35', '40', '45', '50', '55', '60', '65', '70', '75', '80', '85', '90', '389']
['1', '6', '11', '16', '21', '26', '31', '36', '41', '46', '51', '56', '61', '66', '71', '76', '81', '86', '91', '208']
['2', '7', '12', '17', '22', '27', '32', '37', '42', '47', '52', '57', '62', '67', '72', '77', '82', '87', '92', '399']
['3', '8', '13', '18', '23', '28', '33', '38', '43', '48', '53', '58', '63', '68', '73', '78', '83', '88', '93', '371']
['4', '9', '14', '19', '24', '29', '34', '39', '44', '49', '54', '59', '64', '69', '74', '79', '84', '89', '94', '403']
['495', '490', '485', '480', '475', '470', '465', '460', '455', '450', '445', '440', '435', '430', '425', '420', '415', '410', '405', '346']
['496', '491', '486', '481', '476', '471', '466', '461', '456', '451', '446', '441', '436', '431', '426', '421', '416', '411', '406', '356']
['497', '492', '487', '482', '477', '472', '467', '462', '457', '452', '447', '442', '437', '432', '427', '422', '417', '412', '407', '404']
['498', '493', '488', '483', '478', '473', '468', '463', '458', '453', '448', '443', '438', '433', '428', '423', '418', '413', '408', '193']
['499', '494', '489', '484', '479', '474', '469', '464', '459', '454', '449', '444', '439', '434', '429', '424', '419', '414', '409', '364']
['214', '209', '219', '204', '224', '199', '229', '194', '234', '189', '239', '184', '244', '179', '249', '174', '254', '169', '259', '351']
['100', '95', '105', '110', '115', '120', '125', '130', '135', '140', '145', '150', '155', '160', '165', '170', '175', '180', '185', '203']
['101', '96', '106', '111', '116', '121', '126', '131', '136', '141', '146', '151', '156', '161', '166', '171', '176', '181', '186', '376']
['102', '97', '107', '112', '117', '122', '127', '132', '137', '142', '147', '152', '157', '162', '167', '172', '177', '182', '187', '396']
['103', '98', '108', '113', '118', '123', '128', '133', '138', '143', '148', '153', '158', '163', '168', '173', '178', '183', '188', '381']
['104', '99', '109', '114', '119', '124', '129', '134', '139', '144', '149', '154', '159', '164', '387', '382', '392', '377', '397', '384']
['347', '342', '352', '337', '357', '332', '362', '327', '367', '322', '372', '317', '312', '307', '302', '297', '292', '287', '282', '379']
['225', '220', '230', '215', '235', '210', '240', '205', '245', '200', '250', '195', '255', '190', '260', '265', '270', '275', '280', '401']
['353', '348', '358', '343', '363', '338', '368', '333', '373', '328', '378', '323', '383', '318', '388', '313', '393', '308', '398', '391']
['335', '330', '340', '325', '345', '320', '350', '315', '355', '310', '360', '305', '365', '300', '370', '295', '375', '290', '380', '374']
['293', '288', '298', '283', '303', '278', '273', '268', '263', '258', '253', '248', '243', '238', '233', '228', '223', '218', '213', '386']
['237', '232', '242', '227', '247', '222', '252', '217', '257', '212', '262', '207', '267', '202', '272', '197', '277', '192', '341', '369']
['221', '216', '226', '211', '231', '206', '236', '201', '241', '196', '246', '191', '251', '256', '261', '266', '271', '276', '281', '285']
['296', '291', '301', '286', '306', '311', '316', '321', '326', '331', '336', '344', '339', '349', '334', '354', '329', '359', '324', '198']
['319', '314', '309', '304', '299', '294', '289', '284', '279', '274', '269', '264', '402', '385', '390', '395', '400', '366', '361', '394']
