['A', 'BBBBBB', 'AA', 'B', 'BB', 'AAA', 'BBB', 'BBBBB', 'AAAAAA', 'BBBBBBBB', 'AAAA', 'AAAAAAAA', 'AAAAA', 'BBBBBBB', 'BBBB', 'OOOOOOO', 'QQQQQ', 'b', 'jjjjjjj', 'KKKKKKK', 'wwwwwwww', 'CCCCCC', 'ZZZZZZZ', '44', 'hhh', 'FFFFFF', 'EEEEE', 'FFFFFFFF', '777777', 'kkkkkk', 'SS', 'XXXXXX', 'WWWWWW', 'WWWW', 'W', 'XXX', 'HHHHHHHH', 'rrrrrr', 'JJJJJJJJ', 'zzz', '22222222', 'cccc', 'NN', 'vvvv', 'mmmmmm']
['CC', 'DDDD', 'DDDDD', 'CCCC', 'C', 'D', 'DD', 'DDDDDDD', 'CCCCCCCC', 'DDD', 'CCCCC', 'DDDDDDDD', 'CCCCCCC', 'CCC', 'DDDDDD']
['O', 'OOOO', 'P', 'PP', 'OO', 'OOO', 'PPP', 'OOOOOO', 'PPPPP', 'PPPPPP', 'PPPPPPPP', 'OOOOOOOO', 'OOOOO', 'PPPP', 'PPPPPPP']
['aaaaaaaa', 'a', 'aaa', 'bbb', 'aaaaaa', 'aaaaaaa', 'bbbbbbb', 'bbbbbbbb', 'aaaaa', 'bbbb', 'bbbbbb', 'bbbbb', 'bb', 'aa', 'aaaa']
['nn', 'mmmm', 'nnnnnn', 'mmmmmmm', 'm', 'nnnnnnnn', 'nnnn', 'nnnnnnn', 'mmmmm', 'n', 'mmm', 'nnnnn', 'mmmmmmmm', 'mm', 'nnn']
['4444', '444', '444444', '3333333', '33333333', '4', '333', '4444444', '3333', '44444', '3', '333333', '44444444', '33', '33333']
['77777777', '8', '7777', '7777777', '88888888', '7', '8888', '77777', '8888888', '77', '888', '88888', '777', '888888', '88']
['555', '5', '5555', '66666666', '555555', '6666', '666', '6666666', '55555555', '55555', '66', '5555555', '666666', '6', '55']
['GGG', 'H', 'GGGGGGGG', 'GGGGG', 'GGGG', 'G', 'HHHHHHH', 'GGGGGGG', 'HHHHH', 'HHHH', 'GG', 'HH', 'GGGGGG', 'HHHHHH', 'HHH']
['LLLLLLLL', 'K', 'L', 'KKK', 'LLL', 'LLLL', 'KKKKK', 'LLLLL', 'KKKKKKKK', 'LLLLLLL', 'LLLLLL', 'KKKK', 'KKKKKK', 'KK', 'LL']
['IIIIII', 'J', 'IIII', 'IIIII', 'IIIIIII', 'I', 'III', 'JJ', 'II', 'JJJJJJ', 'JJJ', 'IIIIIIII', 'JJJJJJJ', 'JJJJJ', 'JJJJ']
['RRR', 'RR', 'QQQ', 'QQQQQQQQ', 'RRRRRRR', 'Q', 'RRRR', 'QQQQ', 'RRRRRRRR', 'QQQQQQ', 'QQQQQQQ', 'RRRRR', 'RRRRRR', 'R', 'QQ']
['UUUUUUU', 'UU', 'VVV', 'UUUUUU', 'VVVVVV', 'U', 'V', 'VVVVV', 'UUUUUUUU', 'UUU', 'VVVVVVV', 'VV', 'VVVVVVVV', 'UUUU', 'UUUUU']
['VVVV', 'eeeee', 'f', 'ee', 'ff', 'eeee', 'fffffff', 'eeeeeee', 'ffffffff', 'fffff', 'fff', 'eee', 'eeeeee', 'e', 'ffff']
['YYYYYYYY', 'Z', 'ZZ', 'YYY', 'YYYYYYY', 'ZZZ', 'YYYY', 'YYYYY', 'ZZZZZZ', 'ZZZZZZZZ', 'YY', 'YYYYYY', 'ZZZZZ', 'Y', 'ZZZZ']
['ccc', 'cccccc', 'dddddd', 'dddddddd', 'ddddddd', 'ccccc', 'ddddd', 'cc', 'ddd', 'dddd', 'ccccccc', 'cccccccc', 'd', 'dd', 'c']
['gggggggg', 'g', 'hh', 'ggg', 'gggg', 'hhhh', 'hhhhh', 'hhhhhh', 'hhhhhhh', 'hhhhhhhh', 'gggggg', 'ggggg', 'ggggggg', 'h', 'gg']
['ffffff', 'eeeeeeee', 'ppppppp', 'p', 'oo', 'ooo', 'pppp', 'ppppp', 'pppppp', 'ooooooo', 'oooooooo', 'o', 'pp', 'ooooo', 'oooooo']
['s', 'tttttt', 'ssssss', 'ttttt', 'tt', 'ssssssss', 'ssss', 'ss', 't', 'sss', 'ttt', 'sssss', 'tttttttt', 'ttttttt', 'tttt']
['jjjjjjjj', 'iii', 'jjjj', 'iiiii', 'iiiiii', 'i', 'j', 'ii', 'jj', 'iiiiiii', 'iiiiiiii', 'jjjjj', 'jjjjjj', 'jjj', 'iiii']
['llllllll', 'k', 'llll', 'kkkkk', 'kkkkkkkk', 'lllllll', 'llllll', 'll', 'kkkk', 'kkk', 'kkkkkkk', 'lllll', 'l', 'kk', 'lll']
['vvvvvvv', 'v', 'uu', 'vv', 'vvv', 'uuuu', 'uuuuuu', 'vvvvvv', 'uuuuuuu', 'u', 'vvvvv', 'uuuuuuuu', 'uuu', 'vvvvvvvv', 'uuuuu']
['pppppppp', 'oooo', 'ppp', 'wwww', 'w', 'x', 'ww', 'www', 'xxx', 'xxxxxxxx', 'xxxxx', 'wwwwww', 'xx', 'wwwww', 'xxxxxx']
['qqq', 'qqqqqq', 'rrrrrrrr', 'qqqqqqq', 'rrrrrrr', 'q', 'rrr', 'qqqq', 'rrrr', 'qqqqq', 'rrrrr', 'qqqqqqqq', 'qq', 'rr', 'r']
