['123', '0', '1', '2', '3', '337', '211']
['124', '16', '51', '79', '132', '253', '100']
['125', '361', '39', '120', '4', '300', '319']
['126', '34', '13', '85', '119', '240', '397']
['128', '7', '20', '32', '47', '408', '452']
['129', '8', '21', '36', '48', '401', '107']
['131', '15', '50', '65', '162', '86', '215']
['133', '17', '52', '89', '218', '344', '82']
['134', '18', '53', '95', '232', '444', '380']
['135', '19', '6', '54', '105', '426', '455']
['136', '486', '312', '379', '405', '325', '226']
['137', '28', '11', '71', '115', '333', '423']
['138', '22', '9', '57', '111', '383', '242']
['139', '42', '170', '469', '371', '466', '238']
['140', '43', '200', '450', '368', '259', '362']
['141', '44', '222', '283', '10', '316', '272']
['143', '46', '260', '366', '367', '248', '210']
['144', '271', '88', '225', '291', '411', '192']
['146', '49', '278', '403', '369', '262', '454']
['147', '63', '176', '290', '342', '400', '451']
['148', '321', '381', '313', '416', '214', '352']
['149', '430', '202', '378', '73', '227', '418']
['150', '417', '113', '382', '27', '209', '217']
['152', '55', '322', '281', '112', '288', '241']
['153', '56', '324', '481', '377', '398', '449']
['154', '335', '26', '106', '69', '468', '339']
['155', '265', '311', '14', '122', '327', '267']
['156', '30', '81', '96', '194', '236', '45']
['157', '5', '12', '25', '31', '439', '289']
['158', '208', '482', '356', '37', '127', '445']
['159', '425', '61', '174', '261', '465', '470']
['161', '273', '87', '224', '447', '428', '475']
['163', '23', '66', '80', '193', '275', '110']
['164', '24', '67', '90', '219', '467', '263']
['165', '94', '239', '303', '432', '168', '307']
['166', '310', '121', '35', '353', '245', '276']
['167', '372', '385', '392', '412', '257', '365']
['169', '29', '72', '117', '294', '244', '431']
['374', '387', '402', '414', '453', '485', '92']
['171', '58', '201', '472', '286', '488', '160']
['172', '59', '223', '440', '410', '448', '308']
['173', '60', '250', '252', '99', '487', '345']
['421', '386', '373', '473', '229', '332', '68']
['175', '62', '284', '474', '221', '292', '216']
['346', '83', '212', '464', '370', '230', '343']
['177', '64', '296', '456', '258', '304', '396']
['178', '429', '145', '109', '274', '282', '305']
['179', '247', '280', '237', '459', '231', '130']
['180', '406', '101', '484', '254', '317', '108']
['182', '77', '206', '302', '75', '329', '328']
['183', '70', '336', '460', '349', '409', '309']
['184', '188', '441', '256', '103', '264', '419']
['185', '415', '375', '207', '388', '78', '91']
['186', '320', '394', '437', '287', '151', '435']
['187', '266', '314', '471', '97', '422', '220']
['189', '393', '376', '436', '479', '279', '246']
['190', '478', '404', '93', '463', '268', '228']
['191', '76', '205', '285', '270', '351', '442']
['433', '390', '438', '395', '269', '347', '458']
['98', '243', '360', '461', '384', '354', '326']
['195', '118', '40', '299', '363', '306', '330']
['196', '476', '391', '298', '434', '443', '235']
['197', '33', '84', '114', '348', '323', '457']
['198', '233', '338', '102', '255', '340', '420']
['199', '364', '41', '104', '249', '318', '181']
['483', '446', '389', '427', '142', '295', '341']
['277', '38', '234', '358', '359', '424', '350']
['203', '74', '251', '477', '297', '413', '315']
['204', '399', '480', '407', '213', '334', '355']
['331', '116', '293', '357', '462', '301']
