['10', '316', '347', '290', '187', '134', '79', '55', '304', '332', '230', '366', '239', '88', '146', '177', '166', '182', '113', '86', '180', '22', '153', '132', '258', '249', '294', '128', '227', '306', '21', '295', '199', '281', '127', '284', '271', '197', '337']
['100', '287', '161', '274', '289', '358', '172', '80', '18', '50', '87', '158', '224', '137', '365', '30', '215', '341', '145']
['101', '372', '198', '19', '285', '352', '244', '245', '94', '246', '374', '242', '140', '126', '370', '144', '149', '64', '379']
['103', '9', '277', '327', '257', '201', '151', '96', '171', '216', '250', '397', '4', '63', '212', '68', '41', '350', '150']
['104', '336', '138', '256', '124', '305', '78', '238', '82', '192', '308', '3', '310', '136', '160', '159', '129', '147', '321']
['105', '390', '176', '262', '65', '169', '183', '16', '139', '382', '98', '211', '378', '53', '15', '106', '130', '234', '383']
['107', '45', '357', '355', '377', '359', '330', '13', '303', '231', '267', '185', '324', '95', '66', '369', '389', '117', '154']
['108', '135', '17', '339', '24', '296', '186', '2', '320', '52', '26', '356', '7', '191', '360', '228', '232', '35', '27']
['109', '387', '175', '328', '282', '348', '314', '217', '173', '36', '325', '240', '179', '174', '323', '286', '300', '251', '270']
['11', '218', '275', '76', '342', '312', '77', '343', '269', '276', '74', '334', '302', '31', '207', '181', '14', '254', '349']
['110', '156', '133', '291', '322', '237', '340', '59', '354', '163', '90', '272', '301', '67', '39', '333', '396', '122', '329']
['111', '84', '155', '241', '37', '380', '298', '346', '261', '399', '33', '363', '318', '83', '395', '362', '338', '264', '266']
['112', '81', '162', '381', '194', '93', '221', '203', '85', '283', '367', '5', '225', '28', '220', '344', '60', '280', '351']
['114', '214', '195', '168', '307', '385', '38', '167', '273', '190', '164', '252', '326', '299', '12', '51', '69', '229', '70']
['115', '54', '75', '61', '206', '268', '204', '25', '364', '131', '73', '29', '202', '391', '6', '20', '263', '205', '260']
['116', '376', '313', '394', '259', '49', '253', '265', '279', '62', '345', '226', '243', '292', '125', '233', '123', '44', '388']
['118', '189', '247', '209', '143', '141', '102', '311', '213', '42', '32', '335', '34', '235', '222', '309', '23', '392', '57']
['119', '393', '89', '97', '200', '361', '288', '398', '165', '178', '48', '47', '386', '56', '384', '319', '317', '148', '184']
['120', '315', '375', '353', '1', '236', '223', '400', '92', '255', '219', '99', '193', '368', '278', '91', '196', '43', '188']
['121', '331', '8', '170', '371', '72', '210', '46', '373', '71', '152', '142', '40', '157', '248', '293', '208', '297', '58']
