['256', '190', '297', '15', '27', '29', '32', '37', '102', '136', '249', '381']
['208', '122', '170', '240', '7', '20', '54', '386', '151', '106', '52', '300']
['113', '166', '138', '241', '251', '6', '56', '110', '121', '55', '89', '285']
['120', '47', '152', '362', '238', '2', '393', '257', '164', '212', '167', '147']
['215', '10', '23', '65', '303', '128', '365', '77', '193', '162', '178', '211']
['221', '105', '199', '233', '312', '21', '40', '68', '98', '43', '294', '268']
['230', '33', '49', '141', '228', '223', '185', '158', '342', '376', '214', '219']
['26', '384', '142', '220', '86', '22', '60', '131', '161', '177', '91', '377']
['12', '73', '93', '80', '127', '291', '69', '396', '82', '316', '287', '323']
['124', '255', '318', '165', '210', '382', '51', '96', '174', '374', '217', '72']
['188', '245', '368', '325', '90', '148', '204', '232', '274', '305', '399', '263']
['224', '100', '371', '367', '369', '273', '85', '181', '354', '330', '83', '280']
['229', '70', '109', '307', '278', '71', '366', '359', '265', '332', '380', '187']
['30', '13', '243', '248', '184', '242', '262', '99', '145', '272', '375']
['310', '112', '279', '299', '306', '324', '0', '8', '48']
['336', '25', '134', '45', '160', '116', '59', '133', '275']
['339', '198', '205', '358', '4', '140', '227', '331', '143']
['383', '36', '244', '351', '352', '392', '239', '250', '62']
['41', '129', '117', '338', '28', '370', '226', '156', '261']
['183', '5', '61', '87', '111', '180', '333', '258', '200']
['66', '194', '235', '288', '286', '202', '146', '203', '218']
['130', '343', '293', '176', '157', '247', '16', '75', '159']
['398', '172', '236', '326', '356', '132', '302', '1', '42']
['155', '108', '389', '189', '260', '344', '397', '81', '192']
['168', '118', '119', '196', '267', '266', '388', '308', '126']
['169', '63', '264', '292', '201', '39', '53', '57', '78']
['17', '277', '301', '335', '114', '31', '139', '207', '270']
['92', '234', '137', '315', '313', '34', '104', '329', '84']
['19', '385', '35', '94', '271', '322', '353', '372', '182']
['191', '50', '144', '175', '44', '282', '373', '394', '101']
['304', '135', '231', '395', '38', '74', '123', '387', '283']
['103', '125', '319', '309', '206', '149', '186', '58', '295']
['222', '259', '348', '311', '67', '115', '150', '314', '349']
['237', '46', '171', '379', '76', '97', '225', '246', '345']
['197', '24', '341', '327', '9', '298', '321', '361', '269']
['284', '355', '107', '154', '216', '64', '163', '296', '364']
['252', '14', '276', '363', '289', '95', '378', '88', '195']
['317', '3', '290', '390', '391', '79', '320', '400', '18']
['340', '11', '153', '281', '328', '213', '209', '179', '253']
['334', '337', '360', '347', '173', '346', '254', '357', '350']
