['22', '2', '150', '74']
['158', '0', '232', '76']
['16', '1', '186', '78']
['27', '3', '143', '79']
['103', '6', '92', '80']
['104', '4', '137', '87']
['199', '8', '219', '84']
['241', '9', '214', '94']
['54', '5', '144', '95']
['222', '7', '161', '82']
['159', '12', '138', '86']
['185', '11', '164', '88']
['228', '13', '125', '96']
['81', '10', '135', '97']
['100', '20', '237', '98']
['127', '14', '217', '99']
['231', '18', '179', '102']
['32', '23', '133', '105']
['44', '17', '191', '107']
['91', '21', '247', '112']
['173', '15', '141', '111']
['225', '25', '113', '114']
['35', '19', '175', '108']
['59', '24', '176', '116']
['140', '36', '126', '119']
['146', '26', '177', '120']
['202', '31', '201', '121']
['37', '28', '142', '122']
['77', '39', '172', '123']
['89', '30', '193', '130']
['115', '33', '198', '128']
['117', '29', '178', '132']
['162', '38', '171', '139']
['183', '40', '238', '134']
['244', '34', '195', '145']
['43', '42', '169', '147']
['83', '45', '149', '148']
['93', '46', '240', '151']
['101', '49', '213', '152']
['136', '47', '220', '153']
['203', '48', '155', '154']
['106', '50', '165', '160']
['58', '55', '187', '163']
['85', '41', '229', '157']
['110', '56', '167', '181']
['118', '52', '190', '168']
['124', '64', '216', '156']
['131', '51', '170', '197']
['62', '57', '236', '166']
['189', '61', '245', '182']
['204', '53', '246', '194']
['234', '60', '207', '205']
['90', '63', '223', '180']
['109', '65', '249', '209']
['129', '67', '239', '184']
['188', '66', '218', '200']
['192', '72', '211', '206']
['196', '68', '243', '212']
['208', '69', '215', '226']
['221', '71', '248', '210']
['230', '70', '224', '227']
['235', '75', '233', '242']
['174', '73']
