['177', '0', '1', '2', '3', '5', '9', '11', '12', '19', '21', '25', '351', '347', '350', '356', '378', '383', '367', '381', '375', '393', '386', '354', '388', '370', '396', '395', '363', '357', '376', '353', '379', '361']
['335', '4', '6', '7', '8', '13', '15', '17', '20', '24', '27', '28', '391', '322', '324', '348', '355', '365', '385', '394', '392', '368', '380', '372', '371', '382', '377', '397']
['343', '10', '14', '16', '22', '23', '32', '33', '38', '40', '42', '43']
['90', '18', '34', '35', '41', '46', '47', '49', '50', '52', '53', '55']
['184', '26', '29', '30', '31', '44', '45', '56', '57', '58', '60', '62']
['182', '39', '54', '59', '63', '64', '65', '67', '68', '69', '72', '73']
['124', '36', '37', '48', '61', '66', '71', '74', '78', '80', '82', '84']
['134', '51', '76', '79', '86', '87', '89', '91', '97', '99', '100', '101']
['199', '75', '81', '83', '88', '95', '96', '102', '107', '109', '110', '111']
['231', '77', '85', '92', '93', '94', '98', '103', '104', '108', '113', '117']
['366', '105', '106', '112', '114', '116', '119', '121', '122', '123', '125', '126']
['129', '70', '115', '118', '128', '390', '223', '282', '289', '369', '180', '178']
['273', '127', '130', '131', '136', '137', '138', '139', '140', '141', '142', '143']
['319', '120', '132', '135', '144', '146', '149', '150', '152', '153', '154', '155']
['157', '133', '145', '147', '151', '156', '192', '241', '204', '253', '293', '279']
['328', '158', '159', '161', '163', '165', '167', '168', '169', '174', '175', '179']
['262', '148', '160', '164', '166', '176', '181', '183', '185', '186', '187', '189']
['362', '173', '190', '191', '194', '195', '197', '198', '200', '205', '208', '209']
['296', '162', '171', '172', '188', '193', '196', '201', '202', '207', '211', '212']
['210', '170', '206', '291', '332', '358', '387', '349', '222', '305', '330', '233']
['232', '213', '214', '215', '216', '217', '219', '220', '225', '226', '228', '230']
['364', '203', '218', '221', '224', '227', '229', '234', '235', '236', '237', '238']
['317', '240', '242', '245', '246', '249', '250', '251', '254', '255', '256', '257']
['389', '239', '244', '248', '252', '258', '260', '263', '266', '267', '268', '269']
['352', '247', '261', '264', '265', '271', '274', '275', '277', '278', '280', '285']
['359', '259', '270', '272', '292', '298', '299', '301', '302', '303', '307', '308']
['374', '243', '281', '284', '287', '288', '309', '310', '312', '313', '314', '315']
['384', '283', '286', '290', '294', '295', '297', '300', '304', '306', '318', '320']
['373', '316', '321', '323', '325', '326', '327', '329', '333', '336', '338', '339']
['360', '276', '311', '331', '334', '337', '340', '341', '342', '344', '345', '346']
