['v7', 'q2', 'q6', 'g6', 'g2', 'e8', 't5', 't1', 'l5', 'i4']
['p2', 'y9', 'y8', 'd9', 'q5', 'g5', 'j10', 'p3', 'p10', 'f10']
['w7', 'c4', 'y1', 'd4', 'c6', 'g7', 'g4', 'g9', 'g8', 's2']
['c3', 'y5', 'q3', 'c5', 't9', 'b4', 'w5', 'b2', 'b8', 'c7']
['k3', 'y7', 'q9', 'm10', 'n10', 'y4', 't10', 'e5', 'e4', 's7']
['l6', 'q4', 'q7', 't6', 'f3', 'f4', 'j6', 'w3', 'w1', 'n2']
['x1', 'x4', 't3', 'l1', 'x10', 'j9', 'j4', 'j5', 'y6', 'j1']
['b9', 'd1', 'e10', 'o4', 'j8', 'b7', 'w2', 'b3', 'd2', 'm7']
['e7', 'o6', 'e9', 'i9', 'f5', 'h3', 'h1', 'x2', 'w4', 'v9']
['o10', 'd7', 'y2', 't8', 'l4', 'j2', 'w6', 'o9', 'o5', 'h4']
['k10', 'v10', 'q1', 'y3', 'a6', 'o7', 'e6', 'e1', 'r5', 'n4']
['m1', 'd3', 'o1', 'q10', 'e2', 'r1', 'a5', 'h8', 'h2', 'v8']
['x3', 'c10', 'r10', 'l7', 'l3', 'd5', 's10', 'e3', 'r4', 'g1']
['l9', 't7', 't4', 'l2', 'l8', 'p7', 'k8', 'h5', 'n9', 'a10']
['a4', 'w8', 'r6', 'a2', 'q8', 'h6', 'b5', 'x6', 'd6', 'u9']
['s6', 'w10', 'r2', 'r8', 'u8', 'u6', 'm4', 'm9', 'm8', 'v1']
['o3', 'o8', 'h9', 'h7', 'j3', 'b6', 's9', 'f7', 'u1', 'b1']
['c9', 't2', 'l10', 'o2', 'r7', 'r9', 'c2', 'k4', 'k9', 'v6']
['h10', 'a9', 'a3', 'u7', 'u3', 'x7', 'p1', 'f1', 'f9', 'p9']
['b10', 'a7', 'a8', 'u4', 'u2', 'u10', 'c1', 'x5', 'p5', 'n6']
['i6', 'u5', 'm5', 'm6', 'p4', 's5', 's4', 'k7', 'i1', 'n8']
['i5', 'x8', 'n7', 'm2', 'c8', 'p6', 's8', 's3', 's1', 'i3']
['v4', 'y10', 'm3', 'p8', 'f2', 'g3', 'd10', 'k2', 'i8', 'n1']
['f6', 'd8', 'j7', 'r3', 'f8', 'i7', 'v3', 'n3', 'w9', 'x9']
['k5', 'k1', 'k6', 'v2', 'i2', 'a1', 'v5', 'n5', 'g10', 'i10']
