['312', '20', '311', '248', '299', '137', '321', '327', '41', '385', '154', '289', '274', '280', '342', '366', '247', '265', '145', '84']
['168', '278', '340', '81', '259', '293', '354', '95', '215', '190', '262', '288', '326', '390', '210', '378', '286', '356', '235', '358']
['22', '316', '44', '106', '349', '104', '142', '47', '392', '351', '29', '367', '186', '251', '240', '236', '281', '328', '386', '375']
['272', '10', '203', '352', '100', '94', '291', '195', '333', '92', '156', '284', '177', '398', '143', '313', '131', '260', '360', '70']
['330', '230', '310', '355', '229', '391', '373', '357', '285', '399', '344', '87', '185', '67', '363', '287', '298', '338', '78', '264']
['371', '60', '107', '332', '304', '50', '254', '347', '397', '339', '181', '384', '361', '318', '231', '206', '369', '377']
['7', '5', '395']
['79', '157', '348']
['128', '269', '205']
['176', '40', '223']
['193', '141', '220']
['25', '393', '166']
['267', '158', '217']
['276', '18', '90']
['277', '11', '26']
['335', '6', '72']
['337', '0', '21']
['37', '45', '136']
['38', '211', '129']
['381', '12', '28']
['1', '301', '110']
['184', '30', '36']
['114', '111', '122']
['120', '15', '55']
['125', '98', '266']
['135', '75', '150']
['153', '209', '320']
['161', '101', '134']
['170', '200', '194']
['189', '8', '66']
['39', '86', '71']
['207', '77', '82']
['164', '35', '103']
['239', '23', '34']
['241', '221', '380']
['256', '192', '387']
['300', '226', '315']
['350', '93', '261']
['365', '162', '246']
['368', '140', '325']
['389', '2', '89']
['52', '139', '69']
['64', '54', '336']
['116', '14', '108']
['126', '383', '323']
['127', '112', '343']
['132', '16', '32']
['317', '31', '83']
['17', '3', '160']
['213', '9', '124']
['216', '56', '61']
['218', '121', '178']
['225', '59', '99']
['382', '4', '19']
['268', '91', '102']
['27', '208', '48']
['270', '46', '51']
['275', '53', '76']
['282', '33', '57']
['295', '117', '234']
['306', '191', '198']
['309', '173', '187']
['314', '119', '180']
['322', '62', '149']
['329', '80', '175']
['345', '74', '258']
['346', '201', '263']
['353', '244', '245']
['372', '63', '133']
['396', '171', '227']
['42', '130', '197']
['271', '43', '113']
['68', '252', '257']
['255', '144', '182']
['96', '249', '222']
['118', '49', '58']
['237', '85', '97']
['152', '155', '204']
['167', '169', '212']
['172', '123', '290']
['243', '109', '151']
['199', '146', '376']
['202', '214', '242']
['232', '174', '359']
['233', '148', '388']
['24', '147', '163']
['294', '73', '324']
['283', '105', '219']
['292', '188', '362']
['296', '253', '394']
['297', '65', '165']
['302', '250', '374']
['303', '13', '115']
['307', '228', '279']
['331', '196', '379']
['334', '224', '305']
['341', '159', '179']
['364', '183', '273']
['370', '238', '88']
['319', '138', '308']
