['0', '467', '141', '63', '293', '412', '321', '422', '186', '353', '234', '169', '305', '444', '294', '363', '29', '60', '277', '221', '267', '309', '235', '330', '26']
['1', '457', '437', '241', '73', '91', '155', '92', '470', '72', '228', '311', '411', '425', '289', '495', '404', '263', '408', '325', '361', '45', '406', '59', '23']
['100', '413', '280', '416', '51', '66', '415', '206', '65', '131', '418', '143', '443', '283', '367', '30', '315', '27', '490', '438', '43', '307', '430', '150', '20']
['103', '31', '255', '166', '124', '125', '365', '421', '168', '35', '80']
['106', '369', '142', '83', '434', '432', '61', '375', '477']
['107', '364', '450', '147', '190', '21', '212', '261', '213']
['109', '41', '214', '469', '179', '331', '122', '483', '123']
['11', '105', '44', '302', '494', '248', '138', '491', '377']
['110', '463', '357', '409', '499', '77', '304', '347', '90']
['111', '464', '465', '74', '202', '240', '205', '358', '88']
['113', '476', '96', '326', '225', '300', '223', '380', '372']
['114', '76', '164', '220', '310', '87', '181', '403', '218']
['118', '459', '308', '112', '497', '249', '318', '78', '296']
['120', '460', '394', '427', '183', '268', '208', '117', '62']
['121', '471', '70', '395', '386', '55', '253', '441', '295']
['126', '478', '324', '298', '292', '389', '119', '329', '387']
['127', '322', '338', '301', '273', '115', '207', '276', '269']
['128', '414', '379', '384', '462', '211', '339', '401', '102']
['13', '482', '161', '492', '399', '246', '346', '75', '396']
['130', '303', '97', '144', '254', '79', '426', '493', '14']
['134', '203', '286', '132', '359', '12', '297', '281', '9']
['136', '340', '48', '352', '456', '402', '257', '28', '68']
['137', '133', '439', '266', '479', '32', '56', '224', '323']
['145', '238', '99', '201', '362', '282', '472', '258', '182']
['148', '198', '82', '57', '226', '8', '247', '368', '440']
['149', '210', '442', '285', '287', '10', '162', '197', '488']
['15', '316', '58', '53', '385', '174', '350', '243', '25']
['153', '354', '496', '356', '24', '94', '278', '6', '270']
['154', '250', '382', '81', '140', '291', '453', '279', '262']
['157', '175', '95', '244', '485', '381', '320', '251', '236']
['158', '335', '264', '193', '299', '54', '71', '290', '227']
['159', '429', '252', '86', '391', '480', '152', '151', '16']
['165', '313', '481', '177', '209', '451', '343', '351', '271']
['167', '237', '42', '397', '489', '69', '428', '498', '265']
['17', '284', '146', '163', '84', '194', '400', '40', '407']
['171', '449', '376', '360', '447', '405', '116', '156', '38']
['172', '256', '176', '37', '390', '484', '98', '199', '85']
['173', '231', '419', '388', '341', '232', '366', '455', '104']
['18', '337', '7', '420', '274', '452', '52', '327', '433']
['180', '314', '34', '355', '446', '39', '139', '342', '445']
['184', '487', '392', '272', '217', '473', '333', '328', '461']
['185', '393', '319', '431', '242', '216', '448', '398', '345']
['188', '454', '204', '458', '108', '33', '219', '187', '260']
['189', '47', '259', '5', '229', '474', '178', '233', '466']
['19', '468', '312', '306', '135', '410', '436', '334', '222']
['191', '371', '435', '215', '373', '349', '288', '378', '239']
['192', '417', '336', '200', '93', '49', '4', '424', '170']
['195', '348', '344', '317', '36', '383', '101', '332', '129']
['196', '370', '64', '423', '50', '374', '475', '230', '3']
['2', '275', '89', '46', '160', '67', '245', '486', '22']
