['493', '441', '141', '140', '197', '254', '75']
['123', '350', '494', '401', '480', '147', '327']
['132', '497', '472', '312', '287', '4', '118']
['178', '213', '258', '19', '31', '156', '239']
['283', '194', '166', '278', '66', '250', '413']
['374', '364', '9', '164', '373', '485', '318']
['115', '179', '219', '207', '124', '172', '121']
['292', '334', '344', '52', '3', '42', '444']
['380', '385', '40', '223', '195', '5', '328']
['51', '113', '198', '46', '200', '482', '356']
['170', '94', '253', '39', '17', '390', '412']
['276', '470', '352', '57', '487', '112', '85']
['354', '295', '37', '361', '149', '84', '357']
['307', '459', '155', '285', '205', '110', '137']
['469', '348', '270', '86', '55', '60', '428']
['418', '324', '325', '478', '130', '438', '171']
['483', '6', '175', '407', '402', '135', '163']
['100', '33', '199', '303', '180', '64', '129']
['81', '326', '308', '271', '247', '297', '365']
['150', '433', '25', '379', '454', '417', '302']
['252', '117', '442', '142', '342', '131', '486']
['125', '29', '274', '177', '372', '157', '383']
['437', '410', '256', '261', '203', '345', '317']
['228', '388', '209', '143', '18', '237', '319']
['272', '371', '277', '76', '387', '63', '8']
['299', '120', '282', '246', '184', '227', '215']
['300', '341', '467', '218', '159', '192', '89']
['369', '109', '420', '477', '310', '339', '304']
['323', '144', '43', '316', '335', '24', '330']
['329', '255', '289', '128', '378', '435', '234']
['370', '27', '474', '139', '83', '168', '481']
['475', '367', '279', '424', '266', '34', '375']
['98', '263', '90', '92', '455', '0', '376']
['169', '38', '206', '332', '80']
['191', '212', '382', '13']
['353', '67', '2', '54']
['259', '429', '122', '368']
['281', '395', '245', '105']
['286', '359', '446', '68']
['298', '427', '393', '315']
['301', '443', '61', '108']
['313', '225', '16', '208']
['336', '394', '152', '280']
['337', '462', '104', '241']
['362', '269', '35', '440']
['185', '238', '236', '358']
['7', '221', '453', '233']
['153', '193', '30', '41']
['176', '490', '99', '306']
['220', '496', '460', '495']
['160', '196', '264', '466']
['273', '190', '230', '431']
['106', '399', '321', '426']
['145', '210', '262', '12']
['69', '187', '103', '491']
['445', '489', '436', '320']
['439', '403', '479', '499']
['476', '456', '311', '386']
['58', '492', '79', '214']
['36', '488', '182', '26']
['406', '343', '468', '1']
['202', '65', '268', '97']
['293', '82', '381', '346']
['70', '389', '11', '222']
['201', '449', '448', '136']
['102', '288', '423', '138']
['363', '473', '296', '457']
['77', '21', '465', '23']
['204', '498', '400', '463']
['392', '211', '425', '73']
['87', '235', '360', '14']
['96', '265', '45', '186']
['101', '229', '430', '434']
['162', '107', '181', '484']
['275', '173', '244', '432']
['284', '409', '398', '56']
['338', '414', '290', '452']
['165', '377', '404', '267']
['74', '62', '419', '188']
['384', '294', '226', '71']
['416', '447', '458', '397']
['78', '232', '408', '148']
['91', '119', '415', '349']
['133', '116', '314', '421']
['243', '22', '183', '242']
['49', '93', '217', '305']
['351', '161', '146', '251']
['249', '331', '422', '114']
['158', '461', '216', '240']
['464', '151', '231', '451']
['72', '95', '59', '391']
['333', '340', '44', '111']
['411', '167', '189', '127']
['88', '396', '224', '10']
['248', '48', '450', '134']
['154', '20', '322', '126']
['471', '355', '28', '15']
['32', '291', '366', '309']
['257', '53', '260', '347']
['174', '50', '405', '47']
