['21', '3', '4', '6', '245', '116', '158', '174', '179']
['302', '15', '28', '36', '199', '154', '180', '189', '190']
['253', '8', '16', '24', '87', '211', '212', '217', '229']
['83', '30', '41', '46', '274', '196', '197', '198', '219']
['101', '5', '10', '44', '203', '186', '19', '35', '42']
['162', '37', '39', '43', '258', '187', '242', '254', '256']
['195', '0', '48', '56', '61', '224', '241', '255', '263']
['27', '47', '57', '66', '110', '281', '286', '292', '301']
['285', '58', '60', '75', '247', '235', '289', '310', '314']
['320', '70', '78', '88', '157', '265', '325', '96', '127']
['271', '76', '84', '86', '293', '295', '33', '62', '133']
['290', '55', '91', '92', '77', '226', '135', '166', '246']
['146', '49', '54', '89', '79', '64', '22', '45', '68']
['284', '93', '104', '105', '315', '25', '26', '73', '74']
['220', '97', '106', '114', '134', '129', '139', '156', '273']
['65', '99', '115', '119', '149', '90', '81', '98', '194']
['80', '102', '125', '131', '259', '276', '100', '142', '50']
['275', '95', '120', '122', '317', '169', '205', '305', '233']
['297', '121', '123', '124', '267', '249']
['221', '128', '130', '132']
['18', '137', '151', '153']
['201', '136', '147', '148']
['324', '143', '152', '159']
['171', '138', '160', '161']
['230', '141', '163', '164']
['71', '165', '168', '170']
['210', '177', '184', '191']
['296', '173', '178', '183']
['266', '182', '192', '200']
['282', '172', '175', '188']
['72', '208', '216', '222']
['231', '193', '206', '209']
['150', '204', '207', '213']
['107', '215', '223', '228']
['234', '214', '236', '248']
['238', '1', '7', '9']
['257', '232', '244', '250']
['268', '237', '240', '243']
['321', '239', '251', '252']
['69', '227', '260', '261']
['225', '262', '269', '270']
['155', '277', '278', '288']
['140', '279', '280', '298']
['176', '294', '300', '303']
['185', '264', '287', '291']
['218', '299', '307', '308']
['312', '2', '11', '12']
['322', '318', '13', '17']
['38', '304', '313', '316']
['40', '20', '31', '34']
['53', '319', '323', '326']
['32', '311', '327', '14']
['167', '23', '29', '51']
['306', '59', '63', '82']
['272', '85', '108', '109']
['283', '67', '94', '111']
['202', '112', '126', '144']
['181', '52', '103', '113']
['309', '117', '118', '145']
