['147', '318', '244', '315', '188', '332', '89', '209', '21', '45', '95', '81', '329', '55', '299', '26', '1', '107', '8', '288', '369', '177', '152', '393', '284']
['182', '220', '388', '285', '181', '121', '389', '201', '168', '62', '305', '228', '32', '334', '52', '100', '3', '233', '158', '343', '115', '136', '387', '91', '216']
['225', '92', '349', '15', '84', '282', '109', '41', '194', '277', '108', '193', '390', '297', '159', '166', '230', '385', '42', '264', '314', '287', '366', '163', '37']
['243', '64', '335', '396', '370', '110', '30', '300', '221', '317', '144', '131', '184', '298', '132', '114', '345', '310', '139', '61', '232']
['279', '372', '44', '290', '294', '351', '386', '105', '161', '376', '157', '148', '344', '79', '23', '246', '56', '82', '391']
['7', '252', '43', '276', '143', '47', '39', '208', '14', '217', '205', '117', '375', '272', '234', '69', '202', '54', '74']
['97', '251', '379', '325', '250', '103', '77', '106', '289', '359', '212', '59', '156', '218', '397', '261', '262', '245', '347']
['153', '176', '53', '146', '341', '265', '358', '350', '312', '57', '86', '348', '363', '327', '241', '365', '203', '83', '80']
['270', '306', '210', '235', '223', '112', '123', '356', '307', '214', '164', '33', '71', '65', '211', '237', '20', '90', '104']
['187', '191', '172', '178', '58', '133', '140', '173', '309', '362', '321', '302', '275', '323', '12', '324', '28', '333', '189']
['320', '0', '271', '313', '291', '293', '319', '25', '399', '371', '260', '29', '49', '11', '88', '342', '5', '361', '171']
['207', '155', '380', '206', '190', '256', '149', '160', '122', '75', '249', '213', '364', '239', '303', '263', '255', '111', '22']
['259', '186', '229', '38', '72', '258', '231', '238', '236', '102', '174', '384', '257', '398', '130', '10', '36', '78', '338']
['6', '292', '192', '355', '68', '242', '87', '377', '296', '360', '101', '269', '175', '378', '200', '116', '34', '51', '99']
['326', '17', '226', '354', '215', '124', '70', '94', '48', '137', '165', '368', '266', '267', '16', '274', '301', '96', '179']
['127', '76', '4', '196', '283', '394', '85', '197', '170', '295', '353', '195', '145', '374', '67', '224', '118', '9', '141']
['185', '330', '135', '253', '268', '273', '331', '336', '142', '247', '308', '382', '151', '46', '167', '337', '198', '134', '240']
['138', '98', '254', '381', '60', '183', '278', '120', '128', '322', '18', '126', '24', '304', '392', '339', '367', '357', '31']
['35', '199', '328', '113', '281', '227', '19', '395', '2', '40', '248', '119', '280', '346', '63', '129', '219', '373', '169']
['125', '66', '180', '340', '316', '286', '154', '150', '204', '162', '13', '73', '50', '383', '311', '93', '222', '27', '352']
