['299', '7', '8', '12', '19', '23', '31', '42', '58', '59', '65', '66', '67', '68', '73', '74', '270', '150', '233', '235', '243', '245', '248', '262', '298', '189', '202', '268', '300', '136', '145', '225', '234', '263', '277']
['139', '14', '18', '26', '28', '29', '33', '35', '38', '40', '47', '52', '54', '56', '60', '63', '232', '249', '260', '254', '267', '297', '274', '280', '288', '282']
['279', '5', '6', '13', '15', '20', '24', '27', '32', '36', '37', '46', '51', '57', '61', '62']
['250', '1', '10', '16', '25', '30', '34', '39', '41', '43', '48', '53', '71', '75', '77', '81']
['147', '2', '50', '78', '79', '80', '82', '83', '91', '98', '100', '105', '107', '108', '115', '117']
['291', '0', '9', '49', '64', '76', '84', '85', '89', '90', '97', '106', '112', '114', '119', '121']
['265', '3', '4', '21', '22', '44', '55', '93', '95', '99', '102', '113', '116', '123', '126', '128']
['284', '92', '94', '111', '120', '124', '127', '129', '133', '138', '143', '149', '152', '154', '156', '158']
['190', '70', '72', '87', '96', '101', '104', '122', '130', '134', '135', '137', '140', '141', '142', '160']
['261', '17', '69', '86', '88', '131', '132', '155', '157', '159', '161', '163', '168', '170', '171', '174']
['289', '45', '109', '125', '148', '164', '169', '175', '177', '179', '182', '186', '188', '192', '198', '203']
['201', '11', '166', '181', '185', '191', '200', '205', '207', '208', '209', '212', '216', '217', '220', '227']
['210', '103', '165', '167', '194', '195', '206', '256', '258', '259', '266', '273', '283', '286', '231', '278']
['193', '153', '162', '172', '187', '197', '199', '218', '226', '228', '229', '230', '238', '239', '242', '244']
['224', '110', '118', '204', '211', '222', '223', '253', '275', '287', '292', '293', '246', '237', '276', '255']
['294', '144', '146', '151', '176', '178', '184', '196', '213', '214', '215', '219', '236', '240', '241', '251']
['252', '173', '180', '183', '221', '247', '257', '264', '269', '271', '272', '281', '285', '290', '295', '296']
